Metric,Raw,Weighted,Improvement
R²,0.8142028728702486,-2.545751874336228,-3.3599547472064764
MAE,0.06920430544404167,0.36759387142632194,-0.2983895659822803
MSE,0.009849690447102929,0.18797146599612002,-0.1781217755490171
RMSE,0.09924560668917758,0.4335567621386155,-0.3343111554494379
