ID,Date,SCORE,ForwardHead,LeftArmFallForward,RightArmFallForward,LeftShoulderElevation,RightShoulderElevation,ExcessiveForwardLean,LeftAsymmetricalWeightShift,RightAsymmetricalWeightShift,LeftKneeMovesInward,RightKneeMovesInward,LeftKneeMovesOutward,RightKneeMovesOutward,LeftHeelRises,RightHeelRises,AimoScore,No_1_Angle_Deviation,No_2_Angle_Deviation,No_3_Angle_Deviation,No_4_Angle_Deviation,No_5_Angle_Deviation,No_6_Angle_Deviation,No_7_Angle_Deviation,No_8_Angle_Deviation,No_9_Angle_Deviation,No_10_Angle_Deviation,No_11_Angle_Deviation,No_12_Angle_Deviation,No_13_Angle_Deviation,No_1_NASM_Deviation,No_2_NASM_Deviation,No_3_NASM_Deviation,No_4_NASM_Deviation,No_5_NASM_Deviation,No_6_NASM_Deviation,No_7_NASM_Deviation,No_8_NASM_Deviation,No_9_NASM_Deviation,No_10_NASM_Deviation,No_11_NASM_Deviation,No_12_NASM_Deviation,No_13_NASM_Deviation,No_14_NASM_Deviation,No_15_NASM_Deviation,No_16_NASM_Deviation,No_17_NASM_Deviation,No_18_NASM_Deviation,No_19_NASM_Deviation,No_20_NASM_Deviation,No_21_NASM_Deviation,No_22_NASM_Deviation,No_23_NASM_Deviation,No_24_NASM_Deviation,No_25_NASM_Deviation,No_1_Time_Deviation,No_2_Time_Deviation,EstimatedScore
fe55ef29-7977-4ca4-b4f4-50ffbd0a708f.Kinect,2018-08-17,0.40706419186289,0.0,1.08,0.13,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.02,1.5,0.01,0.35,0.40706419186289,0.2797704447632712,0.1606886657101865,0.3467240554758489,0.2936394069823051,0.9354375896700143,0.6537541846006696,0.9330463892874223,0.5217599234815877,0.5600191296030608,0.9478718316594931,0.6355810616929699,0.8727881396461024,0.9636537541846006,0.9354375896700143,0.9330463892874223,0.2797704447632712,0.9478718316594931,0.9636537541846006,0.5657580105212817,0.4820659971305595,0.3390722142515543,0.4892395982783357,0.3993304638928742,0.9450023912003825,0.912960306073649,0.5447154471544715,0.8149210903873745,0.4591104734576757,0.7565758010521282,0.3782879005260641,0.7766618842659014,0.6709708273553324,0.9344811095169775,0.6422764227642277,0.6016260162601627,0.6489717838354854,0.7364897178383548,0.9335246293639407,0.6848397895743663,0.7116212338593975,0.8675274988043998
ace5da91-b12d-4391-8ec9-695d7ed0f1f5.Kinect,2018-09-06,0.407349819114309,0.0,1.08,0.13,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.02,1.5,0.01,0.35,0.407349819114309,0.2797704447632712,0.1975131516021043,0.3467240554758489,0.2845528455284553,0.9005260640841702,0.629842180774749,0.9540889526542324,0.5217599234815877,0.5734098517455762,0.9182209469153515,0.6355810616929699,0.9038737446197992,0.929220468675275,0.9005260640841702,0.9540889526542324,0.2797704447632712,0.9182209469153515,0.929220468675275,0.6685796269727403,0.5227164036346246,0.3390722142515543,0.4275466284074605,0.3787661406025825,0.9057867049258728,0.921090387374462,0.5447154471544715,0.6676231468197035,0.4591104734576757,0.812051649928264,0.3782879005260641,0.6953610712577714,0.6709708273553324,0.8861788617886179,0.7097082735533238,0.8015303682448589,0.6489717838354854,0.5973218555714969,0.9253945480631277,0.6035389765662362,0.6547106647537063,0.839789574366332
b83aedc7-5558-4cea-90db-fb9982f2bf90.Kinect,2018-09-07,0.458106724354715,0.94,1.46,1.46,0.09,0.55,0.0,0.0,1.13,0.08,0.0,0.0,0.0,0.0,0.0,0.458106724354715,0.6341463414634146,0.509325681492109,0.3577235772357724,0.256336681013869,0.8369201339072214,0.4576757532281205,0.8512673362027738,0.6857962697274032,0.2654232424677188,0.4127211860353898,0.8402678144428503,0.809660449545672,0.3543758967001435,0.8369201339072214,0.8512673362027738,0.6341463414634146,0.4127211860353898,0.3543758967001435,0.5341941654710665,0.9057867049258728,0.3390722142515543,0.2458153993304639,0.4093735054997609,0.6714490674318508,0.5729316116690578,0.6862745098039216,0.9870875179340028,0.765662362505978,0.6599713055954088,0.9990435198469632,0.6006695361071258,0.6709708273553324,0.9588713534194165,0.9713055954088953,0.9650884744141559,0.9808703969392635,0.8938307030129125,0.5208034433285509,0.953610712577714,0.9488283118125299,0.9679579148732664
35a2db2a-3110-4151-a24b-3aba3b66a1f4.Kinect,2018-07-20,0.602986468487388,0.0,1.41,1.41,0.0,0.0,1.04,0.16,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.602986468487388,0.436154949784792,0.6819703491152559,0.7709230033476805,0.7465327594452416,0.8005738880918221,0.877092300334768,0.8555714968914395,0.5217599234815877,0.3204208512673362,0.7886178861788617,0.6355810616929699,0.1841224294595887,0.8350071736011477,0.8005738880918221,0.8555714968914395,0.436154949784792,0.7886178861788617,0.8350071736011477,0.4710664753706361,0.3955045432807269,0.8857006217120995,0.9096126255380201,0.9048302247728359,0.7914873266379723,0.825920612147298,0.7704447632711621,0.6413199426111909,0.4591104734576757,0.3175514108082257,0.5992348158775705,0.4414155906264945,0.6709708273553324,0.65662362505978,0.6422764227642277,0.5528455284552846,0.6489717838354854,0.5781922525107605,0.593974175035868,0.7967479674796748,0.7714012434241989,0.7474892395982783
4f2cd7ce-c904-41fe-8c1d-92990f24704a.Kinect,2018-07-26,0.743303012035293,0.58,1.01,0.86,0.86,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.743303012035293,0.2797704447632712,0.9641319942611191,0.6814921090387375,0.6217120994739359,0.6164514586322334,0.8316594930655189,0.6958393113342898,0.5217599234815877,0.4968914395026303,0.2372070779531325,0.6633189861310378,0.517455762792922,0.503586800573888,0.6164514586322334,0.6958393113342898,0.2797704447632712,0.2372070779531325,0.503586800573888,0.4710664753706361,0.7780966044954567,0.3390722142515543,0.2458153993304639,0.4887613582018173,0.7082735533237685,0.5581061692969871,0.5887135341941655,0.6786226685796269,0.9516977522716403,0.3744619799139168,0.7833572453371592,0.4414155906264945,0.8240076518412243,0.65662362505978,0.6422764227642277,0.5528455284552846,0.7728359636537542,0.967479674796748,0.3495934959349594,0.8263988522238164,0.9029172644667623,0.6217120994739359
fe652393-bda2-4547-a64e-f9626f4a0907.Kinect,2018-10-22,0.613179295415468,0.04,1.41,1.49,0.0,0.05,0.0,0.0,0.0,0.0,0.75,1.13,0.0,0.0,0.0,0.613179295415468,0.9153515064562411,0.7871831659493066,0.9679579148732664,0.4471544715447154,0.3993304638928742,0.1932089909134385,0.68675274988044,0.5217599234815877,0.6958393113342898,0.569583931133429,0.6355810616929699,0.6791009086561454,0.1788617886178862,0.3993304638928742,0.68675274988044,0.9153515064562411,0.569583931133429,0.1788617886178862,0.4710664753706361,0.6260162601626016,0.3950263032042085,0.2955523672883787,0.8345289335246293,0.7254901960784313,0.3500717360114778,0.6594930655188905,0.8407460545193687,0.893352462936394,0.3754184600669536,0.3782879005260641,0.6389287422285987,0.6709708273553324,0.65662362505978,0.6422764227642277,0.6666666666666666,0.8330942132950742,0.945480631276901,0.5815399330463893,0.1487326637972262,0.2032520325203252,0.436154949784792
