AimoScore,No_1_Angle_Deviation,No_2_Angle_Deviation,No_3_Angle_Deviation,No_4_Angle_Deviation,No_5_Angle_Deviation,No_6_Angle_Deviation,No_7_Angle_Deviation,No_8_Angle_Deviation,No_9_Angle_Deviation,No_10_Angle_Deviation,No_11_Angle_Deviation,No_12_Angle_Deviation,No_13_Angle_Deviation,No_1_NASM_Deviation,No_2_NASM_Deviation,No_3_NASM_Deviation,No_4_NASM_Deviation,No_5_NASM_Deviation,No_6_NASM_Deviation,No_7_NASM_Deviation,No_8_NASM_Deviation,No_9_NASM_Deviation,No_10_NASM_Deviation,No_11_NASM_Deviation,No_12_NASM_Deviation,No_13_NASM_Deviation,No_14_NASM_Deviation,No_15_NASM_Deviation,No_16_NASM_Deviation,No_17_NASM_Deviation,No_18_NASM_Deviation,No_19_NASM_Deviation,No_20_NASM_Deviation,No_21_NASM_Deviation,No_22_NASM_Deviation,No_23_NASM_Deviation,No_24_NASM_Deviation,No_25_NASM_Deviation,No_1_Time_Deviation,No_2_Time_Deviation,EstimatedScore
0.7100995137,0.2797704448,0.2467718795,0.8177905308,0.4519368723,0.618842659,0.2357723577,0.4753706361,0.5217599235,0.6910569106,0.3390722143,0.6355810617,0.1568627451,0.3261597322,0.618842659,0.4753706361,0.2797704448,0.3390722143,0.3261597322,0.5370636059,0.8067910091,0.6637972262,0.6523194644,0.412721186,0.8326159732,0.6078431373,0.5447154472,0.6044954567,0.8804399809,0.574844572,0.6661884266,0.4414155906,0.8130081301,0.774748924,0.693448111,0.5528455285,0.7819225251,0.9091343855,0.3089430894,0.4528933525,0.4725011956,0.3802008608
0.7209308677,0.7604017217,0.4954567193,0.4634146341,0.262553802,0.1630798661,0.2214251554,0.1941654711,0.5217599235,0.7838354854,0.3821138211,0.6355810617,0.09516977523,0.3959827834,0.1630798661,0.1941654711,0.7604017217,0.3821138211,0.3959827834,0.4710664754,0.2606408417,0.3495934959,0.3022477284,0.5485413678,0.306551889,0.3926351028,0.5447154472,0.6743185079,0.4591104735,0.8087039694,0.4012434242,0.4414155906,0.6709708274,0.6566236251,0.8087039694,0.9057867049,0.8383548541,0.5781922525,0.3089430894,0.1487326638,0.1511238642,0.0549976088
0.6492555065,0.2797704448,0.6695361071,0.6733620277,0.9698708752,0.8833094213,0.9105691057,0.7886178862,0.7905308465,0.1898613104,0.5891917743,0.6355810617,0.3390722143,0.6284074605,0.8833094213,0.7886178862,0.2797704448,0.5891917743,0.6284074605,0.4710664754,0.3782879005,0.7924438068,0.8010521282,0.8058345289,0.6700143472,0.505978001,0.6068866571,0.9225251076,0.4591104735,0.8933524629,0.8641798183,0.9827833572,0.8512673362,0.6566236251,0.9296987088,0.9641319943,0.8718316595,0.5781922525,0.3089430894,0.8273553324,0.8230511717,0.9545671927
0.8350127513,0.2797704448,0.09230033477,0.5007173601,0.7737924438,0.1745576279,0.8440937351,0.1941654711,0.5217599235,0.7977044476,0.6972740316,0.6355810617,0.9717838355,0.6695361071,0.1745576279,0.1941654711,0.2797704448,0.6972740316,0.6695361071,0.4911525586,0.2195121951,0.6006695361,0.3017694883,0.2864658058,0.306551889,0.3213773314,0.9961740794,0.2845528455,0.9579148733,0.6035389766,0.9172644668,0.9033955045,0.6709708274,0.9282639885,0.9861310378,1.0,0.9866092779,0.8058345289,0.3089430894,0.9268292683,0.9282639885,0.8531802965
0.01,0.2797704448,0.09230033477,0.7757054041,0.2716403635,0.5868005739,0.5638450502,0.3371592539,0.8593974175,0.7800095648,0.9980870397,0.9134385462,0.1343854615,0.9961740794,0.5868005739,0.3371592539,0.2797704448,0.9980870397,0.9961740794,0.7962697274,0.7278813965,0.368723099,0.7537063606,0.7197513152,1.0,0.9995217599,0.9115255858,0.9808703969,0.9359158297,0.769010043,0.6470588235,0.4414155906,0.8359636538,0.9971305595,0.9679579149,0.918699187,0.9708273553,0.8727881396,0.6083213773,0.1487326638,0.1511238642,0.9454806313
0.6582030317,0.4289813486,0.2285987566,0.3467240555,0.8177905308,0.4337637494,0.6102343376,0.4615016738,0.5442372071,0.9512195122,0.7164036346,0.6355810617,0.6111908178,0.712577714,0.4337637494,0.4615016738,0.4289813486,0.7164036346,0.712577714,0.8053562889,0.5820181731,0.6594930655,0.4418938307,0.2864658058,0.8053562889,0.8067910091,0.9794356767,0.6771879484,0.9952175992,0.6154949785,0.3782879005,0.631276901,0.6709708274,0.6566236251,0.6422764228,0.5528455285,0.7202295552,0.7293161167,0.3089430894,0.2070779531,0.2228598757,0.3338115734
0.6948075014,0.5227164036,0.1071257771,0.6987087518,0.8130081301,0.1630798661,0.5667144907,0.1941654711,0.7336202774,0.6217120995,0.2104256337,0.6355810617,0.7604017217,0.1788617886,0.1630798661,0.1941654711,0.5227164036,0.2104256337,0.1788617886,0.4710664754,0.780966045,0.9120038259,0.918699187,0.2864658058,0.3118125299,0.3213773314,0.5447154472,0.769010043,0.4988043998,0.387374462,0.4342419895,0.9277857484,0.6709708274,0.6566236251,0.6422764228,0.5528455285,0.6489717838,0.5781922525,0.3089430894,0.1487326638,0.1511238642,0.3787661406
0.6044934936,0.7164036346,0.7321855571,0.3677666188,0.3448110952,0.5691056911,0.1401243424,0.5026303204,0.5217599235,0.8847441416,0.5911047346,0.6355810617,0.7020564323,0.2539454806,0.5691056911,0.5026303204,0.7164036346,0.5911047346,0.2539454806,0.4710664754,0.2984218077,0.7795313247,0.7709230033,0.2864658058,0.556193209,0.769010043,0.9765662363,0.618842659,0.9885222382,0.4672405548,0.5274988044,0.4414155906,0.6709708274,0.6566236251,0.6963175514,0.718794835,0.6489717838,0.5781922525,0.3696795791,0.5992348159,0.6274509804,0.3481587757
0.7789699603,0.5088474414,0.7838354854,0.3821138211,0.8866571019,0.5289335246,0.9201339072,0.7073170732,0.5217599235,0.2410329986,0.5533237685,0.6355810617,0.09516977523,0.1788617886,0.5289335246,0.7073170732,0.5088474414,0.5533237685,0.1788617886,0.4710664754,0.2615973219,0.3390722143,0.5590626495,0.2869440459,0.306551889,0.3237685318,0.5447154472,0.09277857484,0.7216642755,0.2845528455,0.3782879005,0.8206599713,0.7049258728,0.6566236251,0.6422764228,0.5528455285,0.6489717838,0.7087517934,0.3089430894,0.931133429,0.9397417504,0.4131994261
0.7592395844,0.7388809182,0.09230033477,0.8153993305,0.6121472979,0.7140124342,0.7398373984,0.7384026781,0.5217599235,0.8450502152,0.9942611191,0.6355810617,0.4079387853,0.9971305595,0.7140124342,0.7384026781,0.7388809182,0.9942611191,0.9971305595,0.4710664754,0.6006695361,0.3763749402,0.2458153993,0.2864658058,0.7259684362,0.8316594931,0.5714968914,0.6838833094,0.9483500717,0.4768053563,0.4715447154,0.4414155906,0.7833572453,0.8464849354,0.6422764228,0.5528455285,0.8345289335,0.7857484457,0.3089430894,0.9206121473,0.9287422286,0.6542324247
