AimoScore,No_1_Angle_Deviation,No_2_Angle_Deviation,No_3_Angle_Deviation,No_4_Angle_Deviation,No_5_Angle_Deviation,No_6_Angle_Deviation,No_7_Angle_Deviation,No_8_Angle_Deviation,No_9_Angle_Deviation,No_10_Angle_Deviation,No_11_Angle_Deviation,No_12_Angle_Deviation,No_13_Angle_Deviation,No_1_NASM_Deviation,No_2_NASM_Deviation,No_3_NASM_Deviation,No_4_NASM_Deviation,No_5_NASM_Deviation,No_6_NASM_Deviation,No_7_NASM_Deviation,No_8_NASM_Deviation,No_9_NASM_Deviation,No_10_NASM_Deviation,No_11_NASM_Deviation,No_12_NASM_Deviation,No_13_NASM_Deviation,No_14_NASM_Deviation,No_15_NASM_Deviation,No_16_NASM_Deviation,No_17_NASM_Deviation,No_18_NASM_Deviation,No_19_NASM_Deviation,No_20_NASM_Deviation,No_21_NASM_Deviation,No_22_NASM_Deviation,No_23_NASM_Deviation,No_24_NASM_Deviation,No_25_NASM_Deviation,No_1_Time_Deviation,No_2_Time_Deviation,EstimatedScore,Diff,Threshold
0.01,0.9421329507412721,0.877092300334768,0.7149689143950263,0.6652319464371115,0.5753228120516499,0.8058345289335246,0.41272118603538976,0.8742228598756576,0.9617407938785271,1.0,0.9622190339550454,0.9966523194643712,1.0,0.5753228120516499,0.41272118603538976,0.9421329507412721,1.0,1.0,0.9086561453849833,0.9330463892874223,0.8359636537541846,0.8000956480153036,0.6135820181731229,0.7178383548541368,0.321377331420373,0.8675274988043998,0.9560019129603061,0.45911047345767575,0.7130559540889526,0.8852223816355811,0.7393591582974653,0.9703491152558584,0.9890004782400765,0.9665231946437112,0.975609756097561,0.9789574366331899,0.8842659014825442,0.6116690578670493,0.9057867049258728,0.9158297465327594,0.991869918699187,0.9818699186991869,True
0.01,0.9230033476805356,0.9784791965566715,0.6016260162601627,0.5978000956480153,0.6953610712577714,0.7101865136298422,0.6967957914873266,0.8876135820181731,0.1563845050215208,0.9851745576279293,0.6355810616929699,0.34337637494022,0.9923481587757054,0.6953610712577714,0.6967957914873266,0.9230033476805356,0.9851745576279293,0.9923481587757054,0.47106647537063606,0.967479674796748,0.5915829746532759,0.7063605930176949,0.9603060736489718,0.9875657580105213,0.8517455762792921,0.7340985174557628,0.5848876135820181,0.5102821616451458,0.7800095648015304,0.703012912482066,0.4414155906264945,0.6709708273553324,0.65662362505978,0.6422764227642277,0.5528455284552846,0.6489717838354854,0.8866571018651362,0.6585365853658537,0.7020564323290291,0.6757532281205165,0.7996174079387852,0.7896174079387852,True
0.01,0.2797704447632712,0.4748923959827834,0.9583931133428981,0.4414155906264945,1.0,0.8029650884744142,0.9947393591582975,0.8613103778096605,0.8034433285509326,0.4844571975131516,0.8393113342898135,0.49258727881396464,0.5714968914395027,1.0,0.9947393591582975,0.2797704447632712,0.4844571975131516,0.5714968914395027,0.47106647537063606,0.6126255380200861,0.38450502152080346,0.2458153993304639,0.8335724533715926,0.8354854136776662,0.8483978957436633,0.5447154471544715,0.8216164514586323,0.8775705404112865,0.460545193687231,0.3782879005260641,0.8541367766618843,0.6709708273553324,0.8660927785748446,0.6422764227642277,0.5528455284552846,0.9569583931133429,0.8598756575801052,0.7465327594452416,0.6508847441415591,0.7369679579148732,0.9086561453849833,0.8986561453849833,True
0.01,0.9076996652319465,0.943089430894309,0.9780009564801531,0.9612625538020086,0.48971783835485416,0.43424198947871834,0.5236728837876614,0.9985652797704447,0.8818747010999521,0.5772357723577236,0.9249163079866093,0.96987087517934,0.6150167384026781,0.48971783835485416,0.5236728837876614,0.9076996652319465,0.5772357723577236,0.6150167384026781,0.9325681492109039,0.8680057388809183,0.8603538976566236,0.8244858919177427,0.8656145384983261,0.7938785270205643,0.7144906743185079,0.9612625538020086,0.9029172644667623,0.8871353419416547,0.7670970827355332,0.9990435198469632,0.8613103778096605,0.6709708273553324,0.7651841224294595,0.9230033476805356,0.8412242945958871,0.9703491152558584,0.7589670014347202,0.7661406025824964,0.8383548541367767,0.8345289335246293,0.9741750358680057,0.9641750358680057,True
0.01,0.6733620277379244,0.48732663797226206,0.3467240554758489,0.3720707795313247,0.4921090387374462,0.9794356767097083,0.8216164514586323,0.5863223338115734,0.8101386896221904,0.7450980392156863,0.8383548541367767,0.6637972262075562,0.7173601147776184,0.4921090387374462,0.8216164514586323,0.6733620277379244,0.7450980392156863,0.7173601147776184,0.9956958393113343,0.1649928263988522,0.5590626494500239,0.3931133428981349,0.5274988043998087,0.820181731229077,0.8225729316116691,0.5447154471544715,0.9842180774748924,0.6073648971783836,0.41893830703012913,0.741272118603539,0.610234337637494,0.7321855571496891,0.9646102343376375,0.8330942132950742,0.5528455284552846,0.8971783835485414,0.8034433285509326,0.683405069344811,0.7116212338593975,0.7360114777618364,0.7589670014347202,0.7489670014347202,True
0.407197108990292,0.2855093256814921,0.1759923481587757,0.3467240554758489,0.3510282161645146,0.945480631276901,0.6465805834528934,0.9134385461501674,0.5217599234815877,0.5236728837876614,0.9220468675274988,0.6527977044476327,0.8517455762792921,0.9708273553323769,0.945480631276901,0.9134385461501674,0.2855093256814921,0.9220468675274988,0.9708273553323769,0.547584887613582,0.47106647537063606,0.33907221425155426,0.4983261597321856,0.49880439980870395,0.9516977522716403,0.9124820659971306,0.5447154471544715,0.8297465327594452,0.45911047345767575,0.7479674796747967,0.3782879005260641,0.7895743663318986,0.6709708273553324,0.9450023912003825,0.6422764227642277,0.5796269727403156,0.6489717838354854,0.7546628407460545,0.9435676709708274,0.7838354854136776,0.7895743663318986,0.8871353419416547,0.4799382329513627,True
0.407197108990292,0.2797704447632712,0.15016738402678145,0.3467240554758489,0.32902917264466763,0.9521759923481588,0.6585365853658537,0.9287422285987565,0.5217599234815877,0.5561932089909134,0.9469153515064562,0.6355810616929699,0.8646580583452893,0.9569583931133429,0.9521759923481588,0.9287422285987565,0.2797704447632712,0.9469153515064562,0.9569583931133429,0.6174079387852702,0.5724533715925395,0.33907221425155426,0.39215686274509803,0.351506456241033,0.8766140602582496,0.9665231946437112,0.5447154471544715,0.21807747489239598,0.45911047345767575,0.9124820659971306,0.3782879005260641,0.4414155906264945,0.6709708273553324,0.65662362505978,0.8895265423242468,0.9521759923481588,0.8110951697752271,0.5781922525107605,0.8723098995695839,0.6848397895743663,0.7116212338593975,0.8947871831659493,0.4875900741756573,True
0.01,0.9507412721186035,0.921090387374462,0.8952654232424677,0.757532281205165,0.30416068866571017,0.9120038259206121,0.6288857006217121,0.9263510282161646,0.6843615494978479,0.5652797704447633,0.9478718316594931,0.45576279292204686,0.5260640841702535,0.30416068866571017,0.6288857006217121,0.9507412721186035,0.5652797704447633,0.5260640841702535,0.9713055954088953,0.7914873266379723,0.4332855093256815,0.6016260162601627,0.9349593495934959,0.5671927307508369,0.4696317551410808,0.8263988522238164,0.5944524151123864,0.8431372549019608,0.3548541367766619,0.8613103778096605,0.8283118125298901,0.9550454328072693,0.65662362505978,0.9445241511238642,0.6948828311812529,0.7560975609756098,0.5781922525107605,0.6771879483500718,0.8947871831659493,0.8981348637015782,0.7948350071736011,0.7848350071736011,True
0.01,0.8598756575801052,0.8479196556671449,0.6025824964131994,0.9426111908177905,0.9856527977044476,0.9560019129603061,0.973218555714969,0.9827833572453372,0.757532281205165,0.7144906743185079,0.893352462936394,0.5781922525107605,0.7140124342419895,0.9856527977044476,0.973218555714969,0.8598756575801052,0.7144906743185079,0.7140124342419895,0.9153515064562411,0.8794835007173601,0.9512195121951219,0.9316116690578671,0.9937828790052606,0.5509325681492109,0.3567670970827355,0.9244380679100909,0.6642754662840746,0.5361071257771401,0.6604495456719273,0.7991391678622669,0.8134863701578192,0.9296987087517934,0.7699665231946438,0.6422764227642277,0.7384026781444285,0.6489717838354854,0.5781922525107605,0.7379244380679101,0.8163558106169297,0.8067910090865614,0.9784791965566715,0.9684791965566715,True
0.01,0.8436154949784792,0.6451458632233381,0.5820181731229077,0.6518412242945959,0.49784791965566716,0.5566714490674318,0.37302725968436157,0.7465327594452416,0.3706360593017695,0.7981826877092301,0.7283596365375419,0.18938307030129126,0.7647058823529411,0.49784791965566716,0.37302725968436157,0.8436154949784792,0.7981826877092301,0.7647058823529411,0.7164036346245816,0.6107125777140124,0.8813964610234337,0.860832137733142,0.2864658058345289,0.8852223816355811,0.8302247728359636,0.5447154471544715,0.5193687230989957,0.45911047345767575,0.3629842180774749,0.6303204208512674,0.4414155906264945,0.6709708273553324,0.65662362505978,0.7613582018173123,0.5528455284552846,0.6489717838354854,0.5781922525107605,0.4265901482544237,0.9091343854615017,0.9177427068388331,0.40028694404591103,0.390286944045911,True
