AimoScore,No_1_Angle_Deviation,No_2_Angle_Deviation,No_3_Angle_Deviation,No_4_Angle_Deviation,No_5_Angle_Deviation,No_6_Angle_Deviation,No_7_Angle_Deviation,No_8_Angle_Deviation,No_9_Angle_Deviation,No_10_Angle_Deviation,No_11_Angle_Deviation,No_12_Angle_Deviation,No_13_Angle_Deviation,No_1_NASM_Deviation,No_2_NASM_Deviation,No_3_NASM_Deviation,No_4_NASM_Deviation,No_5_NASM_Deviation,No_6_NASM_Deviation,No_7_NASM_Deviation,No_8_NASM_Deviation,No_9_NASM_Deviation,No_10_NASM_Deviation,No_11_NASM_Deviation,No_12_NASM_Deviation,No_13_NASM_Deviation,No_14_NASM_Deviation,No_15_NASM_Deviation,No_16_NASM_Deviation,No_17_NASM_Deviation,No_18_NASM_Deviation,No_19_NASM_Deviation,No_20_NASM_Deviation,No_21_NASM_Deviation,No_22_NASM_Deviation,No_23_NASM_Deviation,No_24_NASM_Deviation,No_25_NASM_Deviation,No_1_Time_Deviation,No_2_Time_Deviation,EstimatedScore,ID
0.89,0.28,0.58,0.35,0.19,0.16,0.15,0.54,0.61,0.42,0.66,0.83,0.11,0.6,0.16,0.53,0.29,0.68,0.6,0.47,0.27,0.34,0.25,0.73,0.3,0.32,0.53,0.13,0.62,0.29,0.6,0.45,0.67,0.66,0.64,0.56,0.65,0.58,0.31,0.17,0.15,0.04,183e5019-3c44-42d2-b552-50e7a31f1e0f.Kinect
0.77,0.78,0.63,0.89,0.64,0.47,0.78,0.35,0.54,0.79,0.66,0.8,0.73,0.64,0.46,0.36,0.77,0.65,0.63,0.95,0.16,0.4,0.32,0.79,0.41,0.5,0.56,0.88,0.46,0.59,0.53,0.74,0.68,0.84,0.74,0.63,0.74,0.8,0.66,0.43,0.74,0.39,57d499e9-d4bf-465e-bb0b-ce126588b84f.Kinect
0.59,0.29,0.76,0.35,0.35,0.59,0.42,0.58,0.52,0.23,0.73,0.64,0.74,0.62,0.58,0.57,0.28,0.71,0.59,0.47,0.66,0.83,0.9,0.86,0.8,0.65,0.57,0.77,0.46,0.94,0.58,0.62,0.71,0.66,0.64,0.55,0.67,0.58,0.81,0.91,0.92,0.58,0a26a0a1-1ca1-48dd-8d7e-f8b9f678b6e9.Kinect
0.82,0.31,0.85,0.36,0.2,0.16,0.56,0.19,0.58,0.28,0.21,0.63,0.29,0.18,0.16,0.19,0.3,0.21,0.18,0.47,0.58,0.92,0.89,0.29,0.32,0.32,0.57,0.24,0.47,0.28,0.38,0.44,0.84,0.67,0.65,0.56,0.65,0.58,0.31,0.29,0.3,0.12,26befd8b-846f-46c8-bb53-5d03ff6d98b9.Kinect
0.78,0.28,0.83,0.35,0.28,0.28,0.6,0.32,0.52,0.82,0.21,0.64,0.1,0.21,0.26,0.33,0.28,0.22,0.21,0.79,0.23,0.34,0.26,0.74,0.31,0.32,0.54,0.3,0.46,0.5,0.42,0.52,0.68,0.66,0.66,0.54,0.71,0.58,0.32,0.45,0.33,0.01,55464841-07de-4757-90b2-7348e0b05e01.Kinect
0.42,0.29,0.09,0.35,0.35,0.95,0.66,0.94,0.52,0.62,0.93,0.63,0.87,0.97,0.94,0.94,0.28,0.94,0.97,0.69,0.49,0.34,0.49,0.51,0.96,0.9,0.55,0.8,0.47,0.77,0.38,0.77,0.67,0.95,0.65,0.63,0.65,0.75,0.94,0.93,0.92,0.92,3cfbdac3-c214-46cf-884f-71388b032c5e.Kinect
0.66,0.28,0.9,0.82,0.62,0.75,0.15,0.8,0.51,0.5,0.23,0.65,0.1,0.18,0.74,0.79,0.28,0.23,0.18,0.47,0.82,0.34,0.71,0.28,0.38,0.32,0.56,0.09,0.97,0.6,0.38,0.44,0.67,0.66,0.64,0.67,0.65,0.78,0.86,0.53,0.81,0.62,6f789a11-8bbc-484e-9db4-7fbfa8c7d035.Kinect
0.07,0.99,0.96,0.81,0.98,0.17,0.71,0.19,0.93,0.4,0.6,0.64,0.34,0.75,0.16,0.19,0.97,0.61,0.73,0.48,0.39,0.84,0.94,0.99,0.52,0.55,0.55,0.35,0.55,0.37,0.88,0.97,0.9,0.82,0.64,0.55,0.65,0.58,0.67,0.82,0.8,0.79,6f304fbc-9a3e-4746-9942-886490855458.Kinect
0.52,0.29,0.34,0.86,0.82,0.62,0.87,0.68,0.56,0.46,0.21,0.77,0.23,0.18,0.62,0.69,0.28,0.21,0.18,0.9,0.96,0.99,1.0,0.74,0.37,0.36,0.93,0.71,0.89,0.73,0.84,0.64,1.0,0.86,0.93,0.81,0.87,0.59,0.89,0.88,0.9,0.99,67c859c0-f91c-4a2e-acb3-86921cd4ec37.Kinect
0.7,0.79,0.86,0.35,0.67,0.16,0.32,0.19,0.78,0.3,0.32,0.65,0.74,0.28,0.16,0.22,0.8,0.29,0.3,0.47,0.17,0.79,0.85,0.48,0.31,0.32,0.55,0.34,0.46,0.28,0.38,0.44,0.67,0.66,0.64,0.78,0.66,0.58,0.79,0.2,0.21,0.19,040a55ab-1520-4223-b410-6c43a0b4098e.Kinect
0.53,0.63,0.56,0.35,0.2,0.4,0.4,0.19,0.7,0.52,0.55,0.63,0.16,0.4,0.41,0.2,0.64,0.59,0.4,0.47,0.16,0.35,0.25,0.31,0.53,0.32,0.55,0.2,0.48,0.28,0.75,0.45,0.68,0.66,0.65,0.54,0.65,0.58,0.31,0.57,0.65,0.04,eb153630-22d2-41dd-81f0-9c56eb6c67d8.Kinect
0.51,0.52,0.7,0.45,0.46,0.45,0.39,0.36,0.9,0.91,0.36,0.65,0.49,0.54,0.45,0.37,0.51,0.38,0.54,0.76,0.72,0.77,0.56,0.29,0.31,0.33,0.86,0.39,0.82,0.69,0.92,0.55,0.69,0.79,0.64,0.56,0.65,0.58,0.98,0.72,0.76,0.52,463d5ae3-35b3-4726-a5fd-8c421d86ffb0.Kinect
0.77,0.28,0.28,0.36,0.68,0.67,0.85,0.47,0.53,0.65,0.85,0.67,0.21,0.36,0.65,0.46,0.28,0.85,0.36,0.48,0.67,0.54,0.25,0.56,0.85,0.73,0.84,0.66,0.96,0.46,0.86,0.45,0.9,0.68,0.64,0.55,0.74,0.91,0.31,0.5,0.53,0.51,15b23386-9176-4608-a3fa-250af20f5bd4.Kinect
0.69,0.28,0.37,0.91,0.76,0.84,0.25,0.79,0.53,0.53,0.5,0.67,0.28,0.32,0.82,0.79,0.28,0.49,0.34,0.52,0.8,0.75,0.75,0.43,0.49,0.45,0.96,0.93,0.49,0.28,0.84,0.94,0.69,0.9,1.0,0.99,0.98,0.95,0.48,0.53,0.67,0.93,173f633b-23cb-476e-b35d-2a2c86a58419.Kinect
0.35,0.87,0.64,0.35,0.89,1.0,0.92,0.99,0.53,0.94,0.53,0.63,0.72,0.6,1.0,0.99,0.87,0.55,0.6,0.97,0.28,0.56,0.72,0.45,0.52,0.79,0.96,0.85,0.46,0.55,0.91,0.44,0.67,0.76,0.64,0.62,0.94,0.66,0.85,0.35,0.44,0.96,ce774893-1a89-405f-adf9-754c9d5536ae.Kinect
0.81,0.32,0.53,0.43,0.56,0.55,0.64,0.71,0.51,0.45,0.78,0.63,0.21,0.76,0.55,0.71,0.33,0.77,0.77,0.77,0.36,0.34,0.27,0.28,0.36,0.32,0.53,0.5,0.72,0.86,0.38,0.53,0.68,0.74,0.76,0.84,0.65,0.67,0.6,0.15,0.15,0.27,9810a1e7-ff7a-4f79-ba47-f9cde38cb2c0.Kinect
0.06,0.82,0.66,0.53,0.41,0.33,0.68,0.24,0.56,0.97,0.98,0.65,0.9,0.9,0.33,0.24,0.84,0.99,0.92,0.73,0.31,0.94,0.92,0.54,0.97,0.85,0.93,0.97,0.72,0.61,0.51,0.45,0.92,0.66,0.65,0.56,0.65,0.58,0.31,0.74,0.77,0.65,162e3105-1ec5-416e-91cc-11375b5f0ec4.Kinect
0.3,0.44,0.94,0.58,0.99,0.8,0.94,0.51,0.81,0.23,0.78,0.95,0.65,0.84,0.78,0.53,0.43,0.78,0.84,0.47,0.81,0.94,0.98,0.98,0.78,0.79,0.93,0.25,0.46,0.29,0.89,1.0,0.86,0.98,0.95,0.91,0.95,0.82,0.36,0.6,0.76,0.97,31ddbc35-98a8-41d9-bdb7-055ae3ab27cc.Kinect
0.4,0.29,0.22,0.35,0.28,0.91,0.63,0.96,0.52,0.54,0.94,0.65,0.88,0.94,0.91,0.95,0.3,0.92,0.96,0.56,0.46,0.34,0.49,0.45,0.94,0.92,0.54,0.81,0.46,0.74,0.38,0.77,0.67,0.92,0.64,0.59,0.66,0.73,0.94,0.8,0.78,0.88,cf900654-0c0c-4bcb-b689-d1c24f492db8.Kinect
0.29,0.28,0.16,0.35,0.3,0.89,0.69,0.87,0.53,0.53,0.9,0.63,0.89,0.93,0.9,0.88,0.28,0.9,0.91,0.6,0.53,0.34,0.44,0.37,0.9,0.92,0.54,0.51,0.46,0.85,0.39,0.61,0.67,0.78,0.77,0.89,0.65,0.58,0.88,0.77,0.79,0.82,05529426-0dad-413e-8713-495810f32155.Kinect
0.57,0.54,0.43,0.48,0.99,0.79,0.87,0.76,0.53,0.72,0.47,0.64,0.89,0.26,0.8,0.76,0.53,0.43,0.29,0.47,0.63,0.89,0.88,0.41,0.6,0.48,0.56,0.98,0.57,0.3,0.76,0.91,0.68,0.66,0.66,0.56,0.65,0.58,0.47,0.56,0.6,0.79,abffe186-cca6-4b78-bc05-982dbb57d960.Kinect
0.6,0.74,0.94,0.67,0.92,0.48,0.93,0.44,0.96,0.72,0.64,0.94,0.14,0.58,0.49,0.43,0.74,0.63,0.61,0.47,0.38,0.89,0.87,0.98,0.31,0.33,0.54,0.17,0.46,0.3,0.75,0.94,0.93,0.66,0.64,0.53,0.66,0.59,0.32,0.87,0.87,0.71,57adf583-4f80-4b07-936e-8214091e901d.Kinect
0.44,0.66,0.43,0.67,0.5,0.2,0.61,0.27,0.68,0.16,0.48,0.63,0.1,0.51,0.22,0.27,0.67,0.49,0.53,0.93,0.75,0.65,0.67,0.87,0.6,0.54,0.53,0.47,0.46,0.28,0.92,0.44,0.67,0.66,0.64,0.56,0.65,0.64,0.64,0.85,0.89,0.34,67098ae8-77bc-41d6-b372-6a5a55392adf.Kinect
0.48,0.73,0.89,0.35,0.89,0.34,0.98,0.72,0.69,0.46,0.22,0.77,0.23,0.18,0.34,0.7,0.74,0.21,0.18,0.77,0.72,0.56,0.51,0.83,0.43,0.34,1.0,0.87,0.63,0.29,0.99,0.91,0.67,0.75,0.97,0.97,0.99,0.89,0.36,0.4,0.41,0.93,e7a7ba75-7e3a-427e-8e2c-f9cb6a7a7394.Kinect
0.36,0.94,0.58,0.58,0.2,0.76,0.25,0.62,0.5,0.48,0.21,0.63,0.72,0.19,0.76,0.65,0.93,0.21,0.18,0.47,0.96,0.34,0.25,0.29,0.34,0.47,0.55,0.87,0.48,0.62,0.99,0.44,0.68,0.66,0.65,0.54,0.67,0.59,0.31,0.81,0.82,0.74,e322cb6c-6d40-4e23-b868-a1de39e888db.Kinect
0.69,0.91,0.75,0.87,0.19,0.8,0.14,0.81,0.79,0.5,0.21,0.65,0.32,0.19,0.81,0.82,0.89,0.21,0.18,0.47,0.99,0.58,0.35,0.67,0.31,0.34,0.55,0.15,0.53,0.28,0.39,0.45,0.67,0.66,0.66,0.57,0.72,0.58,0.33,0.94,0.94,0.7,de5e67f0-159c-4760-99e3-234713819b45.Kinect
0.03,0.37,0.1,0.82,0.19,0.74,0.73,0.83,0.78,0.26,0.79,0.64,0.98,0.85,0.73,0.84,0.37,0.79,0.86,0.54,0.19,0.41,0.25,0.91,0.8,0.98,1.0,0.93,0.74,0.63,0.79,0.65,0.67,1.0,0.99,1.0,1.0,0.99,0.32,0.43,0.63,0.99,8c628238-6142-43d4-ba71-0b056d24b1d3.Kinect
0.78,0.74,0.85,0.39,0.95,0.16,0.14,0.41,0.51,0.4,0.34,0.74,0.8,0.31,0.18,0.41,0.71,0.34,0.32,0.96,0.22,0.97,0.96,0.59,0.33,0.32,0.66,0.92,0.69,0.7,0.79,0.83,0.72,0.66,0.95,0.55,0.65,0.73,1.0,0.42,0.46,0.77,786e2655-aa76-40bb-b091-c2bcbdc07d54.Kinect
0.76,0.79,0.83,0.51,0.61,0.47,0.61,0.32,0.59,0.6,0.65,0.62,0.2,0.64,0.5,0.31,0.79,0.63,0.63,0.88,0.7,0.62,0.26,0.29,0.52,0.59,0.63,0.32,0.66,0.31,0.43,0.76,0.67,0.95,0.82,0.55,0.65,0.58,1.0,0.92,0.49,0.44,3e5b9e3f-8c77-4538-a16b-171f49919715.Kinect
0.74,0.76,0.36,0.59,0.19,0.39,0.14,0.36,0.56,0.68,0.65,0.71,0.62,0.69,0.4,0.35,0.75,0.66,0.66,0.47,0.2,0.38,0.26,0.27,0.3,0.31,0.55,0.09,0.48,0.28,0.55,0.46,0.68,0.66,0.64,0.55,0.66,0.58,0.32,0.15,0.15,0.01,3047dd40-0fb8-452b-b77c-fb651bc1ded3.Kinect
0.51,0.28,0.55,0.55,0.66,0.36,0.29,0.45,0.86,0.38,0.22,0.64,0.15,0.22,0.36,0.45,0.28,0.22,0.23,0.47,0.93,0.34,0.42,0.72,0.43,0.49,0.73,0.27,0.61,0.39,0.91,0.45,0.67,0.66,0.64,0.63,0.67,0.58,0.31,0.45,0.49,0.33,81915340-00d3-4af8-9cb2-814694a68276.Kinect
0.88,0.9,0.96,0.42,0.9,0.33,0.59,0.38,0.88,0.92,0.65,0.79,0.98,0.63,0.33,0.38,0.88,0.64,0.62,0.52,0.46,0.58,0.38,0.78,0.31,0.29,0.75,1.0,0.47,0.97,0.46,0.46,0.91,0.83,0.65,0.57,0.65,0.66,0.31,0.37,0.36,0.59,319c3618-f672-4e8e-9a18-56ec89029969.Kinect
0.71,0.46,0.5,0.73,0.75,0.16,0.75,0.23,0.94,0.16,0.22,0.92,0.92,0.19,0.17,0.24,0.45,0.21,0.18,0.47,0.38,0.88,0.8,0.83,0.52,0.46,0.79,0.83,0.47,0.98,0.47,0.52,0.89,0.66,0.64,0.55,0.67,0.58,0.31,0.5,0.55,0.39,0079f495-1290-47cb-b408-e669c2a27706.Kinect
0.42,0.28,0.2,0.36,0.23,0.92,0.66,0.97,0.52,0.38,0.98,0.64,0.89,1.0,0.9,0.96,0.28,0.98,0.98,0.59,0.52,0.34,0.42,0.44,0.91,0.93,0.54,0.68,0.46,0.79,0.38,0.72,0.67,0.9,0.68,0.75,0.65,0.61,0.93,0.61,0.67,0.84,1f485990-ef53-48d0-9919-7bd219f9fd3b.Kinect
0.08,0.28,0.23,0.35,0.34,0.57,0.28,0.61,0.51,0.81,0.81,0.72,0.73,0.9,0.56,0.59,0.28,0.79,0.89,0.47,0.43,0.54,0.66,0.68,0.85,0.99,0.56,0.46,0.49,0.93,0.38,0.55,0.68,0.66,0.78,0.9,0.66,0.91,0.31,0.45,0.47,0.49,f7be2c96-11ec-4ade-8c31-12a578286d57.Kinect
0.91,0.28,0.74,0.35,0.19,0.16,0.55,0.27,0.55,0.41,0.21,0.63,0.42,0.19,0.18,0.25,0.28,0.23,0.18,0.49,0.39,0.34,0.25,0.3,0.3,0.31,0.53,0.85,0.74,0.49,0.54,0.44,0.69,0.66,0.74,0.6,0.65,0.72,0.31,0.15,0.15,0.04,e17ca858-1961-4182-9fb5-2c46d66752ab.Kinect
0.06,0.28,0.23,0.35,0.35,0.56,0.3,0.6,0.53,0.84,0.79,0.72,0.73,0.89,0.56,0.59,0.28,0.8,0.91,0.47,0.44,0.53,0.67,0.68,0.85,1.0,0.55,0.44,0.52,0.92,0.38,0.55,0.68,0.66,0.76,0.92,0.65,0.91,0.32,0.45,0.49,0.49,f7be2c96-11ec-4ade-8c31-12a578286d57.Kinect
0.41,0.29,0.22,0.35,0.33,0.91,0.69,0.97,0.53,0.52,0.93,0.64,0.91,0.92,0.9,0.96,0.29,0.92,0.94,0.54,0.47,0.35,0.45,0.37,0.94,0.91,0.53,0.82,0.46,0.76,0.39,0.79,0.67,0.95,0.64,0.57,0.65,0.75,0.93,0.61,0.67,0.88,595954f2-9a86-4e75-a7bf-553f6724402a.Kinect
0.85,0.28,0.09,0.5,0.77,0.18,0.84,0.21,0.51,0.81,0.69,0.64,0.97,0.66,0.16,0.21,0.29,0.7,0.67,0.49,0.23,0.59,0.29,0.3,0.33,0.32,0.99,0.3,0.96,0.61,0.93,0.9,0.67,0.92,1.0,0.99,0.98,0.8,0.31,0.92,0.93,0.85,724d2af9-4e9a-4ccc-b6af-6961950f0985.Kinect
0.57,0.29,0.33,0.35,0.2,0.85,0.18,0.7,0.73,0.18,0.58,0.77,0.96,0.31,0.87,0.71,0.28,0.58,0.31,0.47,0.34,0.34,0.61,0.78,0.63,0.44,0.55,0.98,0.97,0.49,0.41,0.58,0.68,0.94,0.65,0.57,0.9,0.87,0.49,0.51,0.54,0.66,05382a3e-ab89-464a-84e2-117a96c475a9.Kinect
0.76,0.52,0.75,0.45,0.57,0.17,0.49,0.21,0.53,0.34,0.56,0.64,0.81,0.45,0.18,0.21,0.52,0.53,0.48,0.81,0.16,0.52,0.69,0.91,0.46,0.32,0.88,0.56,0.46,0.29,0.89,0.52,0.67,0.85,0.96,0.91,0.65,0.58,0.89,0.24,0.24,0.52,0bf90836-e4d6-4669-bd92-8a670045b036.Kinect
0.39,0.28,0.2,0.9,0.77,0.96,0.87,1.0,0.79,0.97,0.72,0.92,0.54,0.54,0.98,1.0,0.28,0.74,0.54,0.71,0.44,0.44,0.39,0.97,0.87,0.86,0.91,0.45,0.53,0.65,0.59,0.53,0.67,0.67,0.65,0.56,0.65,0.59,0.33,0.99,1.0,0.95,a8ceb306-94a7-4270-bbe7-ea703cf3ed4f.Kinect
0.72,0.83,0.1,0.74,0.72,0.68,0.41,0.67,0.51,0.16,0.23,0.63,0.1,0.18,0.65,0.67,0.83,0.22,0.18,0.47,0.83,0.34,0.25,0.29,0.32,0.32,0.54,0.13,0.47,0.34,0.38,0.45,0.68,0.68,0.64,0.55,0.67,0.58,0.31,0.16,0.16,0.31,2f235029-de50-4117-bcd3-5e6fd7b9a50f.Kinect
0.61,0.58,0.42,0.93,0.56,0.43,0.14,0.66,0.51,0.66,0.55,0.67,0.29,0.57,0.42,0.65,0.59,0.54,0.57,0.48,0.16,0.43,0.39,0.79,0.51,0.59,0.6,0.47,0.9,0.28,0.38,0.61,0.7,0.66,0.65,0.76,0.78,0.61,0.96,0.59,0.6,0.34,9cdec3ad-5cdc-48ff-b808-fd9b483bfff7.Kinect
0.79,0.74,0.43,0.73,0.7,0.6,0.14,0.44,0.68,0.16,0.53,0.65,0.47,0.84,0.59,0.45,0.72,0.53,0.85,0.8,0.23,0.34,0.25,0.28,0.59,0.88,0.83,0.67,0.97,0.99,0.54,0.69,0.67,0.89,0.64,0.54,0.66,0.58,0.85,0.53,0.51,0.54,664bbc5c-5ced-4e8d-b14b-6db2124509c2.Kinect
0.46,0.62,0.51,0.37,0.24,0.84,0.45,0.85,0.68,0.26,0.42,0.83,0.81,0.36,0.84,0.86,0.63,0.39,0.35,0.54,0.9,0.34,0.25,0.43,0.67,0.58,0.69,0.98,0.77,0.64,1.0,0.6,0.68,0.96,0.98,0.96,1.0,0.89,0.51,0.95,0.95,0.97,b83aedc7-5558-4cea-90db-fb9982f2bf90.Kinect
