ID,Date,SCORE,ForwardHead,LeftArmFallForward,RightArmFallForward,LeftShoulderElevation,RightShoulderElevation,ExcessiveForwardLean,LeftAsymmetricalWeightShift,RightAsymmetricalWeightShift,LeftKneeMovesInward,RightKneeMovesInward,LeftKneeMovesOutward,RightKneeMovesOutward,LeftHeelRises,RightHeelRises
0a566207-bca0-40f9-80d7-d39506a6182c.Kinect,9/6/2018,0.42,0.0,1.1,0.14,0.0,0.42,0.0,0.01,0.0,0.01,0.0,0.02,1.5,0.02,0.33
545ece59-802b-470c-a980-523fc521c4f6.Kinect,8/29/2018,0.89,0.0,0.16,0.37,0.01,0.46,0.0,0.02,0.0,0.0,0.05,0.0,0.01,0.01,0.0
06d435c7-0a13-471c-8c8e-405a129fdb70.Kinect,7/20/2018,0.9,0.0,0.71,0.4,0.0,0.01,0.01,0.0,0.07,0.01,0.02,0.0,0.01,0.0,0.0
1e423742-bbff-4b24-8890-631dcf046125.Kinect,8/27/2018,0.84,0.01,1.5,1.5,0.0,0.0,0.02,0.0,0.0,0.01,0.02,0.01,0.01,0.01,0.0
3b3a5ff6-83b6-453b-b90d-dc9fb2530fdd.Kinect,5/9/2018,0.58,0.01,1.14,1.13,0.0,0.2,0.0,0.16,0.01,0.0,0.01,1.17,0.02,0.0,0.0
ddca3592-385c-47c3-b77a-045fa4338448.Kinect,8/20/2018,0.54,1.28,0.97,0.87,0.0,0.0,1.06,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
7b31d736-2442-49ab-8180-71879a76a472.Kinect,9/11/2018,0.71,0.0,0.0,0.28,0.07,0.24,1.18,0.0,0.01,0.01,0.0,0.0,0.05,0.0,0.0
9530c06b-b566-48eb-a1f4-a479f305d072.Kinect,5/10/2018,0.79,0.0,0.06,0.1,1.1,1.26,0.0,0.0,0.01,0.47,0.03,0.01,0.0,0.0,0.0
75022edf-bc9d-4974-a178-28eaf9bf7d41.Kinect,7/20/2018,0.35,1.49,1.32,1.41,0.56,0.02,0.0,1.49,0.01,0.01,0.03,0.0,0.01,0.0,0.01
c464db96-f483-41f3-95ec-29514084d8ca.Kinect,5/10/2018,0.45,0.0,0.76,0.42,0.27,1.07,0.14,1.5,0.5,0.07,0.22,0.0,0.0,0.01,0.0
e638946c-39df-440a-a5cd-abc85655f68e.Kinect,7/20/2018,0.75,0.0,1.41,1.41,0.0,0.55,0.0,0.0,0.0,0.04,0.31,0.0,0.0,0.01,0.01
e8ae4364-5b33-46f3-be4d-4278e0db1d9a.Kinect,6/20/2018,0.04,1.15,1.13,1.22,0.1,0.05,1.11,1.27,0.01,0.03,1.18,0.45,0.0,0.0,0.01
aee50180-bd4b-44c7-ae6c-cdb8464aedea.Kinect,10/3/2018,0.99,0.0,0.0,0.0,0.11,0.09,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
