AimoScore,No_1_Angle_Deviation,No_2_Angle_Deviation,No_3_Angle_Deviation,No_4_Angle_Deviation,No_5_Angle_Deviation,No_6_Angle_Deviation,No_7_Angle_Deviation,No_8_Angle_Deviation,No_9_Angle_Deviation,No_10_Angle_Deviation,No_11_Angle_Deviation,No_12_Angle_Deviation,No_13_Angle_Deviation,No_1_NASM_Deviation,No_2_NASM_Deviation,No_3_NASM_Deviation,No_4_NASM_Deviation,No_5_NASM_Deviation,No_6_NASM_Deviation,No_7_NASM_Deviation,No_8_NASM_Deviation,No_9_NASM_Deviation,No_10_NASM_Deviation,No_11_NASM_Deviation,No_12_NASM_Deviation,No_13_NASM_Deviation,No_14_NASM_Deviation,No_15_NASM_Deviation,No_16_NASM_Deviation,No_17_NASM_Deviation,No_18_NASM_Deviation,No_19_NASM_Deviation,No_20_NASM_Deviation,No_21_NASM_Deviation,No_22_NASM_Deviation,No_23_NASM_Deviation,No_24_NASM_Deviation,No_25_NASM_Deviation,No_1_Time_Deviation,No_2_Time_Deviation,EstimatedScore,ID
0.1,0.28,0.24,0.35,0.19,0.54,0.26,0.57,0.52,0.81,0.84,0.64,0.74,0.92,0.54,0.59,0.3,0.84,0.91,0.47,0.41,0.54,0.67,0.68,0.87,0.98,0.54,0.45,0.48,0.94,0.38,0.55,0.67,0.67,0.67,0.9,0.65,0.89,0.32,0.35,0.34,0.48,e769f9dc-e91f-4ad2-88b0-b280c0809f94.Kinect
0.77,0.33,0.75,0.53,0.55,0.16,0.14,0.19,0.69,0.4,0.31,0.74,0.58,0.28,0.16,0.19,0.33,0.32,0.27,0.48,0.64,0.95,0.96,0.49,0.32,0.31,0.74,0.69,0.47,0.29,0.73,0.96,0.69,0.68,0.65,0.53,0.83,0.66,0.48,0.17,0.22,0.33,186473d7-dab9-4cc6-8de6-e6dd43f6b3a2.Kinect
0.5,0.87,0.96,0.42,0.86,0.29,0.93,0.2,0.95,0.73,0.44,0.74,0.6,0.38,0.29,0.19,0.87,0.46,0.4,0.97,0.86,0.85,0.98,0.69,0.3,0.32,0.55,0.32,0.75,0.42,0.38,0.45,0.98,0.74,0.92,0.83,0.65,0.58,0.98,0.63,0.45,0.82,00cf2e7d-ea4e-4cf6-9d6f-592a55106d7a.Kinect
0.39,0.28,0.19,0.35,0.25,0.96,0.64,0.94,0.51,0.51,0.96,0.63,0.82,0.97,0.96,0.94,0.29,0.95,0.98,0.55,0.45,0.34,0.52,0.46,0.96,0.88,0.57,0.9,0.46,0.72,0.38,0.85,0.67,0.97,0.64,0.56,0.75,0.8,0.96,0.61,0.71,0.91,ade23198-3a7f-4b18-ad96-81d57a8f7caa.Kinect
0.75,0.75,0.84,0.59,0.59,0.59,0.43,0.6,0.52,0.69,0.23,0.64,0.18,0.63,0.6,0.6,0.73,0.22,0.62,0.47,0.87,0.42,0.26,0.29,0.3,0.69,0.57,0.72,0.81,0.32,0.4,0.46,0.82,0.83,0.65,0.54,0.69,0.8,0.31,0.89,0.9,0.39,76c02fa7-ad1b-45c9-96b2-25a1f106e9dd.Kinect
0.83,0.28,0.56,0.35,0.19,0.44,0.18,0.28,0.81,0.83,0.74,0.62,0.61,0.8,0.44,0.27,0.28,0.73,0.8,0.6,0.35,0.38,0.25,0.66,0.69,0.84,0.54,0.31,0.62,0.88,0.58,0.51,0.74,0.66,0.64,0.54,0.66,0.98,0.53,0.16,0.24,0.19,72b7a116-c523-4829-8a6d-60b906c5e582.Kinect
0.74,0.4,0.85,0.54,0.85,0.16,0.77,0.2,0.78,0.38,0.22,0.75,0.39,0.25,0.17,0.19,0.38,0.21,0.22,0.48,0.74,0.96,0.96,0.56,0.31,0.33,0.52,0.21,0.47,0.37,0.38,0.63,0.93,0.66,0.64,0.67,0.65,0.58,0.68,0.29,0.16,0.4,11a76082-6ffb-432a-ad64-b906769e6776.Kinect
0.51,0.44,0.49,0.36,0.84,0.16,0.22,0.19,0.52,0.99,0.57,0.64,0.22,0.19,0.16,0.2,0.42,0.54,0.21,0.65,0.3,0.77,0.68,0.3,0.3,0.32,0.98,0.79,0.87,0.54,0.51,0.62,0.68,0.67,0.64,0.97,0.65,0.58,0.49,0.53,0.57,0.35,e8a6de5a-6e83-433b-bb98-3891081c7fb3.Kinect
0.61,0.57,0.76,0.66,0.5,0.16,0.77,0.2,0.76,0.32,0.65,0.63,0.24,0.64,0.16,0.19,0.57,0.65,0.63,0.52,0.18,0.84,0.65,0.9,0.3,0.31,0.88,0.57,0.86,0.32,0.74,0.87,0.79,0.95,0.64,0.54,0.93,0.81,0.84,0.49,0.55,0.4,53b74e34-07c6-4507-b875-8eb721bed7b3.Kinect
0.63,0.67,0.37,0.87,0.56,0.66,0.95,0.2,0.52,1.0,0.26,0.64,0.95,0.19,0.66,0.21,0.68,0.28,0.19,0.82,0.16,0.34,0.32,0.28,0.3,0.32,1.0,0.92,0.99,0.96,0.48,0.8,0.67,0.71,0.83,0.69,0.94,0.78,0.33,0.9,0.93,0.75,86fd51a9-b2a2-4920-8696-37fe66cda014.Kinect
0.57,0.99,0.58,0.4,0.83,0.44,0.43,0.19,0.89,0.31,0.26,0.92,0.64,0.25,0.43,0.2,0.96,0.25,0.23,0.92,0.22,0.61,0.41,0.9,0.79,0.74,0.69,0.59,0.48,0.47,0.82,0.87,0.68,0.66,0.76,0.65,0.66,0.58,0.59,0.91,0.46,0.45,484d2e74-8f9d-40e6-9177-0f5dbab80b60.Kinect
0.43,0.5,0.24,0.35,0.37,0.4,0.89,0.29,0.49,0.19,0.56,0.65,0.35,0.19,0.39,0.29,0.48,0.56,0.18,0.89,0.52,0.34,0.25,0.28,0.76,0.72,0.78,0.83,0.46,0.74,0.51,0.57,0.84,0.66,0.65,0.58,0.67,0.58,0.47,0.83,0.85,0.2,0794bec7-908b-4a37-90fe-e4273e0b13f3.Kinect
0.4,0.28,0.16,0.35,0.29,0.94,0.66,0.92,0.52,0.56,0.96,0.63,0.88,0.96,0.96,0.94,0.28,0.93,0.95,0.58,0.48,0.36,0.49,0.39,0.94,0.91,0.54,0.84,0.46,0.76,0.4,0.79,0.67,0.93,0.64,0.6,0.65,0.74,0.94,0.68,0.7,0.85,fe55ef29-7977-4ca4-b4f4-50ffbd0a708f.Kinect
0.84,0.67,0.87,0.35,0.8,0.17,0.79,0.2,0.91,0.95,0.22,0.94,0.11,0.43,0.16,0.2,0.69,0.21,0.41,0.48,0.18,0.95,0.93,0.59,0.31,0.47,0.9,0.2,0.64,0.37,0.39,0.95,0.79,0.66,0.73,0.55,0.65,0.58,0.31,0.15,0.16,0.37,1e423742-bbff-4b24-8890-631dcf046125.Kinect
0.4,0.29,0.14,0.36,0.33,0.94,0.65,0.92,0.53,0.56,0.96,0.63,0.85,0.98,0.95,0.89,0.29,0.97,0.97,0.58,0.5,0.35,0.5,0.39,0.95,0.92,0.56,0.83,0.46,0.75,0.4,0.79,0.67,0.93,0.64,0.6,0.68,0.76,0.93,0.69,0.71,0.86,b00213f9-4afb-4548-af06-1452c72e4052.Kinect
0.6,0.45,0.23,0.35,0.65,0.35,0.5,0.52,0.52,0.9,0.55,0.66,0.98,0.69,0.36,0.51,0.46,0.56,0.71,0.89,0.18,0.34,0.25,0.44,0.51,0.79,0.63,0.87,0.59,0.58,0.73,0.62,0.67,0.66,0.64,0.73,0.65,0.58,0.55,0.48,0.15,0.31,60930f8e-04e2-446b-8ce3-7698ee80ce01.Kinect
0.83,0.31,0.09,0.35,0.84,0.88,0.39,0.78,0.54,0.34,0.76,0.64,0.33,0.51,0.89,0.77,0.31,0.75,0.52,0.47,0.16,0.42,0.32,0.53,0.52,0.55,0.54,0.15,0.96,0.33,0.38,0.44,0.67,0.66,0.64,0.55,0.65,0.63,0.31,0.17,0.15,0.53,0cd63e59-cea3-48cf-9422-dc23694c2a10.Kinect
0.43,1.0,0.76,0.51,0.7,0.81,0.88,0.81,0.52,0.32,0.8,0.63,0.62,0.82,0.79,0.81,0.99,0.81,0.83,0.48,0.85,0.71,0.8,0.99,0.79,0.8,0.54,0.49,0.89,0.68,0.65,0.45,0.68,0.66,0.64,0.56,0.65,0.58,0.41,0.32,0.15,0.87,f845ffbe-5829-435c-8ce8-1fcffe9c80a6.Kinect
0.71,0.77,0.8,0.83,0.84,0.79,0.3,0.84,0.53,0.16,0.22,0.63,0.1,0.18,0.78,0.81,0.75,0.21,0.18,0.48,0.81,0.34,0.25,0.28,0.31,0.34,0.55,0.09,0.72,0.29,0.38,0.46,0.69,0.67,0.64,0.55,0.65,0.59,0.31,0.5,0.65,0.57,22b94a5a-70b2-4e89-a5e2-f6997a219fad.Kinect
0.74,0.98,0.86,0.35,0.96,0.33,0.9,0.42,0.64,0.73,0.75,0.65,0.59,0.79,0.34,0.42,0.98,0.76,0.8,0.48,0.52,0.97,0.86,0.56,0.82,0.83,0.53,0.28,0.7,0.41,0.78,0.99,0.98,0.68,0.79,0.71,0.77,0.58,0.56,0.57,0.54,0.75,186820c7-d432-4bf7-a3d3-58460240129d.Kinect
