ID,Date,SCORE,ForwardHead,LeftArmFallForward,RightArmFallForward,LeftShoulderElevation,RightShoulderElevation,ExcessiveForwardLean,LeftAsymmetricalWeightShift,RightAsymmetricalWeightShift,LeftKneeMovesInward,RightKneeMovesInward,LeftKneeMovesOutward,RightKneeMovesOutward,LeftHeelRises,RightHeelRises
06cf3faf-1eaa-4fb2-9ace-09ce7a7625e5.Kinect,10/23/2018,0.72,1.07,1.3,1.33,0.0,0.3,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0
38203c19-2f1b-41b8-a731-0574c2776e2e.Kinect,7/10/2018,0.62,1.01,1.37,1.22,0.13,1.04,0.01,0.0,0.11,0.01,0.01,0.02,0.0,0.0,0.0
e33ca670-23bc-447d-acc1-52f660b3ac90.Kinect,10/31/2018,0.4,0.01,1.09,0.13,0.0,0.41,0.0,0.01,0.0,0.0,0.01,0.03,1.5,0.02,0.36
6ebae347-5d4c-45d8-8764-3f81c26f10bf.Kinect,6/8/2018,0.62,0.0,0.49,0.21,0.22,1.4,0.0,0.01,0.65,0.15,0.31,0.01,0.0,0.0,0.0
1750967d-f183-4067-a7b1-99bf0c9f8926.Kinect,11/1/2018,0.36,0.0,1.07,0.15,0.0,0.41,0.0,0.01,0.0,0.0,0.0,0.04,1.5,0.0,0.48
cf0e95ab-d6ec-475a-9cc0-c9444b8dd080.Kinect,7/19/2018,0.61,0.3,1.34,1.16,0.32,0.48,0.01,0.0,0.07,0.0,0.0,0.0,0.76,0.01,0.0
8a05b7ae-b572-4f02-b92a-27173c561d73.Kinect,9/26/2018,0.31,0.63,1.05,1.08,0.96,0.34,1.34,0.01,0.37,0.43,0.4,0.0,0.0,0.0,0.01
43490a59-f8b7-4792-aca6-02e19dc47405.Kinect,7/18/2018,0.83,0.0,0.13,0.0,0.6,1.08,0.0,0.01,0.0,0.06,0.16,0.0,0.01,0.0,0.0
f66dcbf1-5fb4-4ed7-8af7-cae1728e294c.Kinect,9/6/2018,0.45,1.04,1.1,0.71,0.06,0.0,1.13,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.01
ce6d3bd7-3d1a-434b-9661-1557a21cc22b.Kinect,7/18/2018,0.62,0.0,0.29,0.0,0.01,0.6,0.01,0.0,0.0,0.0,0.0,0.0,1.5,0.01,0.0
