AimoScore,No_1_Angle_Deviation,No_2_Angle_Deviation,No_3_Angle_Deviation,No_4_Angle_Deviation,No_5_Angle_Deviation,No_6_Angle_Deviation,No_7_Angle_Deviation,No_8_Angle_Deviation,No_9_Angle_Deviation,No_10_Angle_Deviation,No_11_Angle_Deviation,No_12_Angle_Deviation,No_13_Angle_Deviation,No_1_NASM_Deviation,No_2_NASM_Deviation,No_3_NASM_Deviation,No_4_NASM_Deviation,No_5_NASM_Deviation,No_6_NASM_Deviation,No_7_NASM_Deviation,No_8_NASM_Deviation,No_9_NASM_Deviation,No_10_NASM_Deviation,No_11_NASM_Deviation,No_12_NASM_Deviation,No_13_NASM_Deviation,No_14_NASM_Deviation,No_15_NASM_Deviation,No_16_NASM_Deviation,No_17_NASM_Deviation,No_18_NASM_Deviation,No_19_NASM_Deviation,No_20_NASM_Deviation,No_21_NASM_Deviation,No_22_NASM_Deviation,No_23_NASM_Deviation,No_24_NASM_Deviation,No_25_NASM_Deviation,No_1_Time_Deviation,No_2_Time_Deviation,EstimatedScore,ID
0.83,0.36,0.5,0.35,0.19,0.46,0.43,0.34,0.54,0.16,0.77,0.64,0.1,0.82,0.45,0.33,0.38,0.78,0.82,0.5,0.16,0.34,0.25,0.3,0.57,0.56,0.55,0.74,0.58,0.92,0.63,0.45,0.67,0.66,0.9,0.83,0.65,0.79,0.53,0.15,0.16,0.16,3a165631-6c2f-43f8-adc4-a35c3ddb46e0.Kinect
0.66,0.29,0.21,0.77,0.68,0.2,0.7,0.19,0.53,0.74,0.31,0.63,0.28,0.28,0.2,0.19,0.3,0.3,0.29,0.87,0.66,0.34,0.25,0.28,0.62,0.69,0.77,0.41,0.56,0.55,0.54,0.46,0.67,0.66,0.64,0.55,0.65,0.84,0.31,0.78,0.83,0.08,e3664e83-83f5-40ae-bb98-e47cf72ee0b0.Kinect
0.43,0.72,0.62,0.7,0.43,0.81,0.38,0.82,0.92,0.84,0.5,0.65,0.28,0.44,0.83,0.81,0.73,0.5,0.43,0.47,1.0,0.51,0.6,0.3,0.32,0.31,0.55,0.09,0.85,0.28,0.99,0.44,0.68,0.66,0.65,0.57,0.65,0.58,0.51,0.9,0.89,0.79,31ed8df8-5816-4029-befe-598b4c65ff04.Kinect
0.83,0.7,0.31,0.77,0.78,0.3,0.18,0.22,0.52,0.64,0.71,0.64,0.21,0.71,0.29,0.19,0.7,0.73,0.71,0.65,0.29,0.35,0.3,0.8,0.69,0.64,0.56,0.23,0.84,0.98,0.5,0.85,0.67,0.68,0.65,0.56,0.65,0.58,0.81,0.38,0.47,0.19,f6bb9cfe-75e9-4a7b-b3c6-5c5dc2a7c871.Kinect
0.72,0.8,0.79,0.35,0.19,0.26,0.21,0.2,0.53,0.64,0.22,0.62,0.54,0.18,0.26,0.19,0.82,0.21,0.18,0.47,0.33,0.74,0.82,0.54,0.3,0.33,0.55,0.36,0.46,0.3,0.38,0.45,0.67,0.67,0.64,0.57,0.65,0.58,0.76,0.38,0.15,0.1,cfc0747a-ec2b-416c-9687-fa6fd54882a0.Kinect
0.65,0.6,0.33,0.57,0.54,0.19,0.35,0.19,0.69,0.49,0.35,0.64,0.5,0.47,0.19,0.19,0.59,0.35,0.46,0.94,0.34,0.37,0.25,0.28,0.32,0.31,0.55,0.09,0.6,0.29,0.57,0.89,0.68,0.72,0.65,0.57,0.81,0.58,0.34,0.15,0.15,0.03,53ef7e0b-d741-4556-9237-83ad75e4d1b1.Kinect
0.76,0.28,0.42,0.63,0.8,0.37,0.8,0.2,0.67,0.41,0.36,0.64,0.22,0.26,0.37,0.23,0.29,0.37,0.28,0.47,0.45,0.71,0.73,0.49,0.31,0.33,0.74,0.27,0.48,0.28,0.38,0.74,0.68,0.66,0.64,0.56,0.65,0.58,0.65,0.29,0.3,0.13,6bb61922-5721-4d85-add9-04b25a1dd38b.Kinect
0.54,0.75,0.77,0.9,0.43,0.32,0.86,0.47,0.69,0.98,0.5,1.0,0.64,0.57,0.31,0.44,0.77,0.5,0.56,0.55,0.22,0.35,0.25,0.63,0.3,0.33,0.93,0.2,0.46,0.51,0.38,0.45,0.67,0.66,0.76,0.54,0.73,0.58,0.31,0.27,0.25,0.26,a7cbdc66-91e7-4f63-ac9e-5ccb1c6a7580.Kinect
0.07,0.28,0.26,0.35,0.19,0.55,0.28,0.6,0.53,0.82,0.82,0.71,0.75,0.9,0.55,0.6,0.29,0.83,0.89,0.47,0.44,0.53,0.68,0.69,0.86,1.0,0.52,0.43,0.52,0.94,0.39,0.55,0.67,0.66,0.69,0.92,0.65,0.9,0.31,0.31,0.33,0.49,4f99adc1-d585-4c14-9f27-77b42d460865.Kinect
0.92,0.44,0.57,0.51,0.27,0.18,0.25,0.49,0.51,0.16,0.21,0.91,0.92,0.18,0.2,0.48,0.44,0.21,0.18,0.47,0.74,0.34,0.25,0.63,0.31,0.31,0.95,0.09,0.68,0.29,0.79,0.44,0.67,0.66,0.93,0.98,0.93,0.67,0.32,0.15,0.16,0.4,fd447140-eec0-49e7-a4c2-78fbd8b186fe.Kinect
