AimoScore,No_1_Angle_Deviation,No_2_Angle_Deviation,No_3_Angle_Deviation,No_4_Angle_Deviation,No_5_Angle_Deviation,No_6_Angle_Deviation,No_7_Angle_Deviation,No_8_Angle_Deviation,No_9_Angle_Deviation,No_10_Angle_Deviation,No_11_Angle_Deviation,No_12_Angle_Deviation,No_13_Angle_Deviation,No_1_NASM_Deviation,No_2_NASM_Deviation,No_3_NASM_Deviation,No_4_NASM_Deviation,No_5_NASM_Deviation,No_6_NASM_Deviation,No_7_NASM_Deviation,No_8_NASM_Deviation,No_9_NASM_Deviation,No_10_NASM_Deviation,No_11_NASM_Deviation,No_12_NASM_Deviation,No_13_NASM_Deviation,No_14_NASM_Deviation,No_15_NASM_Deviation,No_16_NASM_Deviation,No_17_NASM_Deviation,No_18_NASM_Deviation,No_19_NASM_Deviation,No_20_NASM_Deviation,No_21_NASM_Deviation,No_22_NASM_Deviation,No_23_NASM_Deviation,No_24_NASM_Deviation,No_25_NASM_Deviation,No_1_Time_Deviation,No_2_Time_Deviation,EstimatedScore,ID
0.08,0.28,0.34,0.36,0.19,0.56,0.27,0.59,0.51,0.84,0.83,0.71,0.75,0.89,0.55,0.6,0.29,0.82,0.87,0.47,0.32,0.49,0.76,0.68,0.89,0.98,0.55,0.96,0.68,0.72,0.6,0.8,0.67,0.96,0.64,0.55,0.88,0.95,0.31,0.34,0.38,0.59,865ceffb-f3a4-4e3d-b75d-22befdef23af.Kinect
0.49,0.7,0.95,0.69,0.76,0.74,0.51,0.75,0.98,0.17,0.23,0.62,0.11,0.19,0.74,0.75,0.71,0.23,0.18,0.47,0.97,0.34,0.44,0.74,0.36,0.38,0.61,0.1,0.47,0.71,0.96,0.45,0.67,0.67,0.66,0.55,0.65,0.59,0.7,0.15,0.16,0.76,3477758c-74d6-4428-8445-22863cd4ccc3.Kinect
0.28,0.73,0.93,0.92,0.27,0.36,0.91,0.4,0.52,0.98,0.88,0.81,0.77,0.87,0.38,0.38,0.73,0.92,0.88,0.91,0.18,0.9,0.81,0.91,0.36,0.78,0.56,0.97,1.0,1.0,1.0,0.83,0.84,0.98,0.77,0.97,1.0,0.9,0.99,0.18,0.18,0.99,28d65ce8-f54b-4bae-b998-5d5b5e4b98dc.Kinect
0.73,0.66,0.21,0.35,0.56,0.26,0.5,0.53,0.54,0.21,0.72,0.63,0.96,0.73,0.27,0.51,0.68,0.71,0.74,0.88,0.17,0.5,0.5,0.28,0.31,0.73,0.53,0.59,0.46,0.55,0.49,0.44,0.67,0.66,0.64,0.81,0.66,0.58,0.31,0.15,0.15,0.15,e4c0f885-0ab4-4a87-a32e-8af9f7f47692.Kinect
0.37,0.61,0.43,0.47,0.19,0.65,0.44,0.51,0.65,0.51,0.54,0.82,0.99,0.42,0.62,0.52,0.6,0.53,0.44,0.81,0.16,0.34,0.26,0.62,0.76,0.81,0.82,0.82,0.88,0.58,0.46,0.85,0.68,0.66,0.65,0.54,0.66,0.67,0.32,0.44,0.15,0.43,648bb474-8f69-43b7-9598-63f72041e02d.Kinect
0.62,0.94,0.35,0.89,0.59,0.8,0.22,0.82,0.8,0.69,0.52,0.76,0.9,0.47,0.8,0.84,0.93,0.51,0.46,0.47,0.93,0.34,0.33,0.48,0.36,0.32,0.55,0.37,0.46,0.28,0.44,0.44,0.67,0.66,0.64,0.55,0.65,0.59,0.62,0.99,0.99,0.74,88ac8d64-e663-4423-9f85-b292792b9c0d.Kinect
0.37,0.41,0.09,0.6,0.19,0.81,0.56,0.75,0.6,0.72,0.89,0.64,0.68,0.69,0.83,0.75,0.41,0.89,0.69,0.47,0.21,0.34,0.26,0.27,0.8,0.84,0.68,0.25,0.48,0.83,0.38,0.45,0.67,0.66,0.65,0.62,0.65,0.99,0.57,0.6,0.56,0.68,c040893b-7f45-4926-ad33-bf8d3a0fee55.Kinect
0.88,0.42,0.1,0.35,0.19,0.33,0.19,0.54,0.52,0.41,0.8,0.65,0.1,0.8,0.34,0.52,0.44,0.8,0.81,0.8,0.39,0.52,0.25,0.3,0.35,0.42,0.55,0.72,0.51,0.66,0.38,0.44,0.67,0.96,0.95,0.9,0.65,0.86,0.53,0.15,0.16,0.24,df076b61-c6c3-40a3-b19d-ecbf88a65f02.Kinect
0.07,0.28,0.33,0.35,0.2,0.57,0.32,0.59,0.51,0.87,0.82,0.72,0.74,0.9,0.55,0.61,0.28,0.84,0.87,0.47,0.37,0.52,0.69,0.68,0.87,0.99,0.55,0.73,0.59,0.87,0.42,0.65,0.67,0.84,0.65,0.68,0.82,0.94,0.32,0.32,0.33,0.43,5a425208-fc0b-4936-a7ae-20e44fc64c33.Kinect
0.63,0.83,0.78,0.35,0.37,0.34,0.15,0.32,0.52,0.33,0.46,0.63,0.68,0.39,0.35,0.31,0.81,0.45,0.39,0.49,0.3,0.82,0.81,0.29,0.51,0.7,0.93,0.68,0.74,0.48,0.51,0.44,0.68,0.66,0.72,0.78,0.65,0.58,0.33,0.89,0.9,0.21,c15aa4ad-8be9-4725-ba98-c55bdc0c7e61.Kinect
