AimoScore,No_1_Angle_Deviation,No_2_Angle_Deviation,No_3_Angle_Deviation,No_4_Angle_Deviation,No_5_Angle_Deviation,No_6_Angle_Deviation,No_7_Angle_Deviation,No_8_Angle_Deviation,No_9_Angle_Deviation,No_10_Angle_Deviation,No_11_Angle_Deviation,No_12_Angle_Deviation,No_13_Angle_Deviation,No_1_NASM_Deviation,No_2_NASM_Deviation,No_3_NASM_Deviation,No_4_NASM_Deviation,No_5_NASM_Deviation,No_6_NASM_Deviation,No_7_NASM_Deviation,No_8_NASM_Deviation,No_9_NASM_Deviation,No_10_NASM_Deviation,No_11_NASM_Deviation,No_12_NASM_Deviation,No_13_NASM_Deviation,No_14_NASM_Deviation,No_15_NASM_Deviation,No_16_NASM_Deviation,No_17_NASM_Deviation,No_18_NASM_Deviation,No_19_NASM_Deviation,No_20_NASM_Deviation,No_21_NASM_Deviation,No_22_NASM_Deviation,No_23_NASM_Deviation,No_24_NASM_Deviation,No_25_NASM_Deviation,No_1_Time_Deviation,No_2_Time_Deviation,EstimatedScore,ID
0.62,0.28,0.39,0.35,0.43,0.44,0.19,0.47,0.54,0.2,0.27,0.64,0.63,0.19,0.43,0.48,0.31,0.28,0.19,0.67,0.16,0.34,0.25,0.55,0.3,0.34,0.54,0.1,0.52,0.29,0.38,0.85,0.67,0.83,0.79,0.61,0.65,0.58,1.0,0.22,0.24,0.22,face1ac1-23ab-4188-be01-45d08bcc4679.Kinect
0.42,0.29,0.17,0.35,0.28,0.91,0.65,0.9,0.51,0.47,0.92,0.65,0.85,0.93,0.89,0.91,0.28,0.92,0.93,0.57,0.47,0.34,0.5,0.4,0.93,0.91,0.54,0.81,0.47,0.77,0.38,0.77,0.67,0.96,0.65,0.6,0.65,0.74,0.94,0.63,0.65,0.87,f0a3c0aa-594f-4500-96e0-4ac194f4a2eb.Kinect
0.05,0.87,0.94,0.92,0.33,0.24,0.85,0.19,0.56,0.79,0.56,0.8,0.95,0.58,0.25,0.2,0.86,0.55,0.59,0.77,0.84,0.79,0.83,0.94,0.63,0.6,0.79,0.94,0.7,0.65,0.74,0.89,0.67,0.71,0.64,0.54,0.82,0.71,0.38,0.99,0.97,0.73,e8ae4364-5b33-46f3-be4d-4278e0db1d9a.Kinect
0.01,0.97,0.95,0.41,0.86,0.98,0.93,0.77,0.97,0.97,0.47,0.97,0.96,0.24,0.95,0.78,0.96,0.45,0.23,0.97,0.79,0.98,0.98,0.9,0.63,0.54,0.77,0.9,0.97,1.0,0.82,0.82,0.93,0.66,0.8,0.68,0.65,0.58,0.82,0.91,0.9,0.98,5a8e8683-3cd1-4ec8-8db2-65b037660206.Kinect
0.32,0.69,0.72,0.35,0.57,0.51,0.87,0.19,0.79,0.3,0.71,0.93,0.47,0.75,0.53,0.2,0.7,0.7,0.73,0.97,0.59,0.99,1.0,0.95,0.68,0.69,0.79,0.72,0.5,0.7,0.74,0.89,1.0,0.75,0.76,0.78,0.65,0.6,0.54,0.65,0.73,0.75,09f061a2-4b48-4ab0-a781-3561f370d622.Kinect
0.46,0.83,0.59,0.78,0.65,0.44,0.47,0.3,0.86,0.27,0.55,0.63,0.79,0.42,0.42,0.32,0.82,0.52,0.44,0.85,0.16,0.71,0.58,0.66,0.3,0.36,0.54,0.88,0.65,0.6,0.87,0.65,0.68,0.72,0.86,0.56,0.65,0.58,0.7,0.76,0.77,0.48,c464db96-f483-41f3-95ec-29514084d8ca.Kinect
0.38,0.39,0.42,0.97,0.85,0.63,0.15,0.33,0.8,0.16,0.68,0.64,0.11,0.71,0.64,0.33,0.36,0.7,0.71,0.9,0.74,0.37,0.25,0.49,0.86,0.85,0.55,0.34,0.94,1.0,0.4,0.74,0.67,0.95,0.64,0.55,0.66,0.58,0.97,0.81,0.42,0.67,249d1baf-bc40-4480-802a-c5ff41768011.Kinect
0.39,0.71,0.86,0.98,0.87,0.61,0.54,0.61,0.96,0.64,0.39,0.83,0.58,0.23,0.62,0.61,0.69,0.41,0.26,0.47,0.9,0.71,0.65,0.3,0.44,0.55,0.78,0.32,0.48,0.28,0.99,0.46,0.76,0.66,0.64,0.55,0.65,0.58,0.43,0.34,0.38,0.71,3b8dd73b-7792-43ff-b35b-c1f6cf3d47ae.Kinect
0.7,0.73,0.91,0.53,0.66,0.16,0.74,0.21,0.91,0.93,0.42,0.93,0.18,0.53,0.16,0.2,0.75,0.41,0.52,0.47,0.74,0.82,0.88,0.74,0.45,0.48,0.72,0.33,0.61,0.37,0.38,0.57,0.67,0.69,0.64,0.55,0.65,0.58,0.62,0.54,0.48,0.26,92efa9f7-fc22-4825-8d94-b01f81b19067.Kinect
0.2,0.94,0.84,0.88,0.53,0.44,0.54,0.42,0.7,0.77,0.87,0.96,0.38,0.83,0.45,0.43,0.93,0.87,0.83,0.5,0.17,0.63,0.49,0.8,0.3,0.31,0.86,0.63,0.82,0.42,0.92,0.44,0.95,0.85,0.84,0.91,0.98,0.81,0.31,0.83,0.86,0.69,b6ea5853-2f8d-4935-8aef-f73d2da8fea2.Kinect
0.84,0.41,0.21,0.35,0.27,0.22,0.18,0.2,0.51,0.36,0.43,0.63,0.59,0.35,0.23,0.2,0.41,0.42,0.33,0.51,0.53,0.47,0.46,0.28,0.65,0.63,0.91,0.48,0.47,0.3,0.58,0.44,0.68,0.66,0.65,0.53,0.66,0.67,0.32,0.47,0.48,0.02,638476a8-f660-4798-b2aa-8327b93cb5b7.Kinect
