ID,Date,SCORE,ForwardHead,LeftArmFallForward,RightArmFallForward,LeftShoulderElevation,RightShoulderElevation,ExcessiveForwardLean,LeftAsymmetricalWeightShift,RightAsymmetricalWeightShift,LeftKneeMovesInward,RightKneeMovesInward,LeftKneeMovesOutward,RightKneeMovesOutward,LeftHeelRises,RightHeelRises
87d7d951-9143-499e-beab-0feb7c93cf78.Kinect,10/8/2018,0.94,0.0,0.0,0.01,0.0,0.55,0.01,0.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0
4a899eb8-c065-44c2-9c72-9c3576a54f63.Kinect,10/15/2018,0.69,1.1,1.25,1.24,0.0,0.05,0.0,0.0,0.0,0.01,0.29,0.0,0.0,0.0,0.01
315a5309-5f24-4c26-a291-739a1ec0bd25.Kinect,9/11/2018,0.67,0.3,0.2,0.0,1.1,1.21,0.8,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0
31eb12bf-afc5-4699-97af-e11ec80dba6a.Kinect,5/9/2018,0.85,0.03,1.5,1.5,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
4606de05-2f0c-4c3e-8c47-7bcf7be4f6b8.Kinect,6/8/2018,0.48,0.0,0.3,0.58,0.01,0.36,0.02,0.05,0.02,0.01,0.0,1.49,0.5,0.31,0.26
9fc77f34-d8b0-46ec-8e05-8aa2883a9b18.Kinect,7/12/2018,0.72,1.07,1.49,1.5,0.08,0.0,0.0,0.0,0.0,0.11,0.0,0.01,0.0,0.0,0.0
c20ed64a-b9b3-4bce-b54a-bed9ceb5803f.Kinect,9/11/2018,0.53,1.08,0.53,0.82,0.0,0.74,0.97,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01
9cb54259-606e-47f5-96d5-ed4cf6f3b029.Kinect,9/9/2018,0.59,0.0,0.86,0.57,0.0,0.32,0.0,1.48,0.01,0.0,0.0,0.0,0.01,0.0,0.0
2eac17d0-e92d-4a93-a185-d394d2a1da14.Kinect,7/12/2018,0.36,1.01,1.5,1.5,1.2,1.02,0.01,0.01,0.0,0.36,1.2,0.0,0.01,0.0,0.0
91d813b2-4a93-4ac2-88d7-27373d7a297c.Kinect,9/10/2018,0.6,1.2,1.11,1.26,0.76,1.0,0.0,0.0,0.16,0.02,0.01,0.01,0.0,0.0,0.01
8508245f-843b-43ac-a38e-8b266c0c6b04.Kinect,8/24/2018,0.07,0.0,1.49,1.27,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.49,1.12,1.07
784dc3bc-7fd6-440c-95fc-01d8c8827bea.Kinect,10/19/2018,0.64,0.21,1.46,1.5,0.63,0.91,0.25,0.02,0.0,0.0,0.27,0.01,0.0,0.0,0.0
c9751b1a-b563-4d3d-9d5e-df6ced7d8eb2.Kinect,6/20/2018,0.58,1.25,0.83,1.23,0.54,0.06,0.02,0.03,0.01,0.01,0.56,0.0,0.0,0.02,0.0
917c8c5f-ad76-4132-8e4f-8ce0e9eb430a.Kinect,8/23/2018,0.52,1.0,1.5,1.5,0.13,0.97,0.01,0.01,0.0,0.02,0.06,0.76,0.0,0.0,0.0
0a30f46a-7a24-44eb-950c-dfe646f0b11a.Kinect,6/11/2018,0.02,0.02,1.37,1.49,0.0,1.37,0.0,0.67,0.01,0.0,0.0,0.01,1.5,0.26,0.68
2e721c21-d62e-42ec-869f-1dae0d284377.Kinect,6/20/2018,0.56,1.37,1.3,1.44,0.55,0.56,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.01,0.0
23a070f0-5818-44a3-982d-27b49d7c9c89.Kinect,6/27/2018,0.66,0.0,0.02,0.0,1.5,1.31,0.03,0.0,0.01,0.0,0.86,0.0,0.0,0.0,0.0
4f0e769f-210f-411f-bfa7-56e2feecbc97.Kinect,9/21/2018,0.8,0.01,0.13,0.0,1.5,1.35,0.0,0.04,0.0,0.0,0.05,0.0,0.01,0.0,0.01
c2280483-1f62-4e93-b4b7-956f3996f7b1.Kinect,6/1/2018,0.61,0.0,0.99,0.31,1.09,1.01,0.1,0.52,0.01,0.37,0.01,0.0,0.0,0.0,0.01
e7fcd78a-702f-42b4-b9fd-ae2e42418814.Kinect,10/9/2018,0.39,0.09,1.5,1.5,0.0,0.0,0.01,0.0,0.0,0.0,0.25,1.27,0.0,0.47,0.12
b96103d4-f7e4-4371-847a-2cab40a20d9a.Kinect,10/9/2018,0.94,0.0,0.06,0.06,0.01,0.43,0.0,0.0,0.02,0.0,0.0,0.03,0.0,0.01,0.01
9206b879-b506-46af-85f1-ba624f93efc4.Kinect,6/8/2018,0.67,0.93,0.0,0.09,0.05,1.23,0.04,0.19,0.0,0.0,0.17,0.0,0.0,0.0,0.03
