AimoScore,No_1_Angle_Deviation,No_2_Angle_Deviation,No_3_Angle_Deviation,No_4_Angle_Deviation,No_5_Angle_Deviation,No_6_Angle_Deviation,No_7_Angle_Deviation,No_8_Angle_Deviation,No_9_Angle_Deviation,No_10_Angle_Deviation,No_11_Angle_Deviation,No_12_Angle_Deviation,No_13_Angle_Deviation,No_1_NASM_Deviation,No_2_NASM_Deviation,No_3_NASM_Deviation,No_4_NASM_Deviation,No_5_NASM_Deviation,No_6_NASM_Deviation,No_7_NASM_Deviation,No_8_NASM_Deviation,No_9_NASM_Deviation,No_10_NASM_Deviation,No_11_NASM_Deviation,No_12_NASM_Deviation,No_13_NASM_Deviation,No_14_NASM_Deviation,No_15_NASM_Deviation,No_16_NASM_Deviation,No_17_NASM_Deviation,No_18_NASM_Deviation,No_19_NASM_Deviation,No_20_NASM_Deviation,No_21_NASM_Deviation,No_22_NASM_Deviation,No_23_NASM_Deviation,No_24_NASM_Deviation,No_25_NASM_Deviation,No_1_Time_Deviation,No_2_Time_Deviation,EstimatedScore,ID
0.07,0.28,0.35,0.35,0.2,0.53,0.28,0.6,0.53,0.83,0.76,0.66,0.7,0.89,0.53,0.6,0.28,0.77,0.88,0.47,0.4,0.52,0.67,0.66,0.83,0.97,0.56,0.43,0.53,0.94,0.38,0.55,0.67,0.66,0.65,0.89,0.65,0.9,0.32,0.2,0.4,0.43,583b561c-d148-4311-9513-e310973d0b2c.Kinect
0.18,0.97,0.82,0.98,0.38,0.41,0.79,0.2,0.99,0.48,0.61,0.76,0.44,0.63,0.41,0.2,0.96,0.62,0.64,0.72,0.23,0.87,0.84,1.0,0.72,0.65,0.71,0.6,0.82,0.63,0.93,0.45,0.68,0.66,0.64,0.57,0.65,0.58,0.85,0.85,0.82,0.78,0a0e7eb7-a0bc-4b04-839c-0b0ae2fa8f34.Kinect
0.09,0.29,0.09,0.89,0.99,0.98,0.89,0.96,0.63,0.94,0.91,0.92,0.43,0.87,0.97,0.96,0.28,0.91,0.88,0.48,0.16,0.66,0.59,0.91,0.99,0.87,0.95,0.25,0.6,0.29,0.4,0.93,0.91,0.66,0.64,0.55,0.65,0.59,0.31,0.71,0.67,0.94,dc23f789-f756-4e4d-a2a2-5eced8ea1a82.Kinect
0.72,0.28,0.09,0.87,0.3,0.42,0.2,0.49,0.53,0.88,0.4,0.64,0.29,0.34,0.45,0.49,0.28,0.42,0.35,0.47,0.88,0.61,0.38,0.44,0.78,0.58,0.89,0.64,0.88,0.31,0.65,0.45,0.79,0.78,0.65,0.55,0.77,0.87,0.31,0.84,0.62,0.32,e1256b3a-38e3-41e1-8cd3-1a8ff8730dc3.Kinect
0.73,0.28,0.1,0.35,0.2,0.67,0.41,0.54,0.52,0.16,0.85,0.64,0.31,0.85,0.68,0.54,0.28,0.86,0.85,0.7,0.17,0.34,0.25,0.28,0.58,0.59,0.6,0.77,0.9,0.85,0.67,0.44,0.67,0.67,0.68,0.57,0.66,0.58,0.67,0.15,0.15,0.32,b64542c3-fce1-4cf8-8e72-c71e07de4b3e.Kinect
0.6,0.56,0.38,0.38,0.55,0.45,0.36,0.52,0.52,0.59,0.84,0.63,0.82,0.86,0.43,0.52,0.54,0.83,0.84,0.85,0.17,0.61,0.25,0.29,0.69,0.85,0.86,0.75,0.65,0.59,0.45,0.44,0.69,0.66,0.64,0.55,0.65,0.59,0.56,0.57,0.32,0.25,1a0f74ae-e507-43fc-8920-467aee7daf3b.Kinect
0.76,0.64,0.6,0.5,0.56,0.17,0.2,0.19,0.52,0.52,0.7,0.9,0.93,0.38,0.16,0.2,0.64,0.69,0.37,0.47,0.57,0.75,0.79,0.33,0.32,0.31,0.6,0.7,0.47,0.38,0.39,0.86,0.67,0.75,0.65,0.67,0.67,0.6,0.98,0.72,0.76,0.38,0e4c9235-ef26-47fd-883d-ccc277836c29.Kinect
0.75,0.77,0.83,0.52,0.6,0.47,0.61,0.32,0.61,0.6,0.65,0.64,0.21,0.65,0.49,0.29,0.8,0.63,0.63,0.88,0.72,0.62,0.25,0.28,0.52,0.59,0.64,0.33,0.65,0.29,0.43,0.76,0.68,0.93,0.83,0.53,0.66,0.58,0.99,0.92,0.5,0.42,3e5b9e3f-8c77-4538-a16b-171f49919715.Kinect
0.6,0.39,0.37,0.83,0.82,0.16,0.15,0.21,0.53,0.76,0.61,0.62,0.37,0.56,0.17,0.2,0.4,0.63,0.55,0.47,0.18,0.34,0.26,0.87,0.72,0.66,0.61,0.47,0.69,0.28,0.38,0.44,0.67,0.66,0.66,0.8,0.73,0.65,0.65,0.51,0.53,0.11,6a679e9e-5e4d-4cfa-8e84-cb8a479257af.Kinect
0.69,0.6,0.19,0.58,0.71,0.52,0.32,0.34,0.5,0.63,0.39,0.77,0.36,0.35,0.52,0.34,0.59,0.39,0.34,0.93,0.55,0.36,0.25,0.29,0.3,0.31,0.73,0.54,0.63,0.28,0.49,0.7,0.67,0.66,0.65,0.58,0.65,0.58,0.67,0.55,0.6,0.11,3e6a2e95-15be-4096-aa32-76853775e8db.Kinect
