ID,Date,SCORE,ForwardHead,LeftArmFallForward,RightArmFallForward,LeftShoulderElevation,RightShoulderElevation,ExcessiveForwardLean,LeftAsymmetricalWeightShift,RightAsymmetricalWeightShift,LeftKneeMovesInward,RightKneeMovesInward,LeftKneeMovesOutward,RightKneeMovesOutward,LeftHeelRises,RightHeelRises
e81a6abe-005f-43ce-a51d-54c384192ff8.Kinect,6/1/2018,0.8,0.03,1.18,1.24,0.0,0.01,0.0,0.01,0.0,0.37,0.02,0.0,0.01,0.0,0.02
d6c408fb-1246-4a11-86c0-189ffa7eec96.Kinect,9/26/2018,0.78,0.17,1.5,1.49,0.14,0.01,0.0,0.01,0.0,0.04,0.15,0.0,0.0,0.0,0.0
eb1b2205-7b26-4c85-9e8e-c350fddec978.Kinect,5/10/2018,0.83,0.01,1.27,1.15,0.02,0.01,0.19,0.01,0.0,0.05,0.05,0.0,0.01,0.0,0.0
ed12f013-a5e6-4ce0-aa4d-c69ad37c35c2.Kinect,7/19/2018,0.37,1.22,1.22,0.91,1.27,1.2,0.0,0.01,1.24,0.0,0.0,0.0,0.02,0.0,0.0
e2ae19f4-3aa8-444e-bcb8-80178c5fb837.Kinect,7/16/2018,0.71,1.27,1.24,1.23,0.01,0.0,0.0,0.02,0.0,0.0,0.28,0.01,0.02,0.0,0.0
d2f2fb23-7cab-4804-93ee-e155e417e930.Kinect,8/23/2018,0.81,0.03,1.47,1.49,0.0,0.01,0.22,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0
a3f1585f-f89a-4a64-aba9-1507ace544b3.Kinect,8/13/2018,0.4,0.0,1.02,0.42,0.35,1.5,0.5,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.01
980dec77-8626-4e81-a221-f3a58fc6342c.Kinect,10/8/2018,0.41,0.01,1.09,0.14,0.0,0.42,0.0,0.02,0.0,0.0,0.0,0.01,1.49,0.0,0.35
3b8dd73b-7792-43ff-b35b-c1f6cf3d47ae.Kinect,6/5/2018,0.39,1.07,1.2,1.1,0.83,0.23,0.01,1.4,0.0,0.0,0.08,0.05,0.01,0.0,0.0
c6e70bab-7317-4207-8e3b-b59c7b560ff3.Kinect,10/16/2018,0.86,0.02,0.29,1.0,0.0,0.27,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.0
17a7c756-10f4-46e8-8e7b-8e42cae8076a.Kinect,9/4/2018,0.8,0.0,1.44,1.49,0.0,0.06,0.0,0.0,0.01,0.0,0.17,0.0,0.0,0.0,0.01
e500dd24-327b-42a5-a46e-bb269a05e482.Kinect,8/8/2018,0.02,0.01,1.5,1.49,0.0,0.15,0.0,0.0,0.01,0.0,0.0,0.0,1.5,1.28,1.43
bd876bdb-692f-4ef4-8c40-15b56eefec5e.Kinect,10/4/2018,0.61,0.91,1.5,1.49,0.03,0.14,0.0,0.0,0.0,0.0,0.57,0.01,0.0,0.0,0.0
7c17e055-109c-411d-b166-68eebdedfe3d.Kinect,7/26/2018,0.55,0.13,0.53,0.15,0.22,1.0,1.34,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.01
3251ba1a-176f-4486-973a-49d18b648d97.Kinect,8/17/2018,0.41,0.01,1.09,0.12,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.01,1.5,0.01,0.35
57adf583-4f80-4b07-936e-8214091e901d.Kinect,9/26/2018,0.61,0.0,1.08,0.98,0.0,0.2,1.28,0.01,0.0,0.01,0.07,0.03,0.0,0.01,0.0
adc35e2f-1faa-4f82-8b4a-6dadcba3163a.Kinect,8/21/2018,0.82,0.04,1.1,1.37,0.02,0.14,0.0,0.03,0.01,0.0,0.0,0.01,0.0,0.0,0.0
4121c5fb-7def-47fc-a9fe-cfa0b7a9db05.Kinect,8/29/2018,0.45,1.4,1.47,1.5,0.21,0.13,0.0,0.0,1.18,0.0,0.0,0.0,0.01,0.0,0.0
211d6b88-249c-458a-8f69-43e0e2717dac.Kinect,9/26/2018,0.59,1.09,0.15,0.58,0.05,0.62,0.68,0.1,0.0,0.0,0.08,0.0,0.0,0.0,0.0
2107eb7b-37b6-46e3-9d14-7a87f9b7419a.Kinect,8/27/2018,0.75,0.11,1.36,1.37,0.66,0.28,0.13,0.01,0.0,0.0,0.0,0.08,0.0,0.0,0.01
6782f8cd-f297-4788-9720-068d0a987d23.Kinect,10/19/2018,0.73,0.0,1.1,1.29,0.75,0.03,0.0,0.0,0.0,0.03,0.32,0.0,0.0,0.0,0.0
90a953c1-1ab5-4ae1-a284-10707090b9e3.Kinect,8/25/2018,0.45,0.0,1.08,0.14,0.0,0.39,0.01,0.0,0.0,0.0,0.01,0.01,1.49,0.01,0.32
6782f8cd-f297-4788-9720-068d0a987d23.Kinect,10/19/2018,0.75,0.01,1.09,1.29,0.77,0.03,0.0,0.02,0.0,0.02,0.32,0.0,0.01,0.0,0.0
9c4d3d84-0dd9-405e-a880-92e471656b18.Kinect,6/1/2018,0.71,0.0,0.2,0.0,0.09,0.03,0.0,0.0,0.17,1.06,0.0,0.0,0.02,0.0,0.0
118689c6-c5e4-435c-ba55-8b61f10b88c2.Kinect,10/24/2018,0.21,0.0,1.4,1.49,0.0,0.0,0.01,0.0,0.0,0.0,0.2,1.18,0.02,0.99,0.01
5b28a252-b882-4bb3-a566-365502a96553.Kinect,7/29/2018,0.84,0.0,0.25,0.16,1.23,1.36,0.0,0.0,0.0,0.02,0.01,0.02,0.0,0.02,0.01
c2721621-bf45-4c0d-bb88-8c6a3cd31ab3.Kinect,7/31/2018,0.8,0.27,1.09,0.63,0.55,0.16,0.01,0.0,0.02,0.01,0.08,0.0,0.0,0.0,0.0
b924c269-c130-452b-a9a9-7a472f64e6f6.Kinect,5/10/2018,0.83,0.12,0.99,0.86,0.05,0.58,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0
51561957-5e42-4ac2-a0bf-09fd7fcf19bd.Kinect,7/9/2018,0.75,0.93,1.33,1.48,0.01,0.0,0.0,0.01,0.0,0.1,0.09,0.02,0.0,0.0,0.0
2517f3a3-9a6d-4a5d-ace9-c2a035d12337.Kinect,8/23/2018,0.52,0.02,1.17,1.15,0.13,0.13,0.0,1.4,0.0,0.0,0.0,0.39,0.0,0.0,0.0
7149a4db-9b03-4834-862b-51ea11e89e3e.Kinect,10/3/2018,0.88,0.0,0.0,0.0,0.0,0.79,0.01,0.0,0.01,0.01,0.11,0.0,0.0,0.01,0.0
f32602d7-67cb-4df0-8918-882d983ac87f.Kinect,7/24/2018,0.64,0.01,1.02,0.71,0.0,0.0,0.19,0.01,0.0,0.0,0.02,0.0,1.15,0.0,0.01
870ea4ee-0d1b-40a7-bac9-080fe8098c2b.Kinect,9/11/2018,0.87,0.0,0.3,1.13,0.02,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0
c3bced09-cfe8-4738-b1c1-650bbf969fd2.Kinect,8/27/2018,0.75,0.0,1.49,1.49,0.0,0.12,0.18,0.06,0.0,0.0,0.28,0.01,0.0,0.0,0.0
a12f690b-eb09-4c47-a24d-2caf71fe54a2.Kinect,6/6/2018,0.62,0.01,1.0,1.1,0.61,0.51,0.01,0.0,0.01,0.0,0.48,1.0,0.0,0.01,0.02
ddca3592-385c-47c3-b77a-045fa4338448.Kinect,8/20/2018,0.55,1.29,0.95,0.88,0.01,0.01,1.07,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01
511f594b-9b52-41af-b6e0-8d04b5132928.Kinect,7/16/2018,0.31,1.5,1.48,1.15,0.77,1.22,0.09,0.26,0.65,0.53,0.02,0.01,0.0,0.01,0.0
2b1f824e-cafa-48b6-941d-f436b543e3be.Kinect,10/18/2018,0.65,1.27,1.02,1.03,0.13,0.97,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.02
5ebaf952-a3d6-4f2e-bab4-230d679dd15f.Kinect,7/20/2018,0.23,0.0,0.94,1.33,0.15,0.33,1.41,1.5,0.0,0.11,0.01,0.0,0.0,0.0,0.01
81915340-00d3-4af8-9cb2-814694a68276.Kinect,9/26/2018,0.49,1.35,0.08,0.28,0.01,0.4,0.28,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.01
a668aacf-3344-4709-9e33-b78b77eb703d.Kinect,7/26/2018,0.43,0.13,0.54,0.39,1.05,0.18,0.79,0.0,0.79,0.4,0.01,0.01,0.0,0.0,0.01
f0a174b9-1f4d-4e27-a7b7-bd2e5158db78.Kinect,9/11/2018,0.5,0.75,1.01,1.03,0.04,0.28,0.01,0.22,0.01,0.0,0.01,1.02,0.0,0.1,0.01
4c39dfb0-8cc6-40bc-9f32-880c037e1414.Kinect,10/9/2018,0.4,0.01,1.05,0.13,0.0,0.43,0.0,0.0,0.0,0.0,0.01,0.02,1.49,0.01,0.36
0de263ba-c6e1-4526-b0e1-a1993f3e08f2.Kinect,9/26/2018,0.75,0.01,1.49,1.5,0.0,0.0,0.03,0.0,0.0,0.42,0.31,0.0,0.0,0.0,0.0
b152dca3-8373-4b94-a987-43c132907d8a.Kinect,10/12/2018,0.99,0.0,0.1,0.1,0.0,0.03,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0
ed676ef5-ea26-4aeb-9042-8f6cc57e2fa4.Kinect,6/20/2018,0.49,0.0,1.19,1.49,0.01,0.0,0.01,1.05,0.0,0.01,0.77,0.56,0.0,0.0,0.01
2defb2ed-532a-4415-9885-a33549dd3170.Kinect,5/10/2018,0.43,1.08,1.23,1.38,1.38,1.46,0.05,0.33,0.01,0.01,0.34,0.0,0.0,0.0,0.0
13f2c737-8c6f-4f12-a8e7-c1b34243fad1.Kinect,6/19/2018,0.41,1.18,0.57,1.14,0.17,0.01,0.01,0.92,0.02,0.0,0.67,0.0,0.0,0.0,0.0
5d5040cc-87a9-4e07-8cd2-7adb659236ab.Kinect,6/1/2018,0.33,0.01,0.74,0.02,0.02,0.07,1.02,0.0,0.83,1.07,0.02,0.0,0.01,0.0,0.0
1c0d298f-007c-43ea-9e76-cadb8b70e7da.Kinect,10/26/2018,0.85,0.1,1.5,1.48,0.0,0.0,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0
c8ef9d62-de0d-4d3a-9697-1001dbdf7144.Kinect,10/3/2018,0.98,0.01,0.01,0.0,0.0,0.23,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0
c9751b1a-b563-4d3d-9d5e-df6ced7d8eb2.Kinect,6/20/2018,0.59,1.25,0.82,1.24,0.53,0.06,0.0,0.0,0.0,0.0,0.55,0.0,0.01,0.0,0.0
209d70ac-fd42-4e34-8ce3-bfac236a4f16.Kinect,6/26/2018,0.21,0.0,1.36,1.04,1.18,1.23,0.0,1.06,0.0,0.0,1.49,0.51,0.0,0.01,0.0
0619d678-4df7-4b2c-bb17-c6a39949be27.Kinect,9/11/2018,0.79,0.84,1.1,0.48,0.18,0.17,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.01
3eb24e73-3c62-42d1-8ef3-56feea60e0c7.Kinect,7/18/2018,0.74,1.1,1.12,0.64,0.46,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
