AimoScore,No_1_Angle_Deviation,No_2_Angle_Deviation,No_3_Angle_Deviation,No_4_Angle_Deviation,No_5_Angle_Deviation,No_6_Angle_Deviation,No_7_Angle_Deviation,No_8_Angle_Deviation,No_9_Angle_Deviation,No_10_Angle_Deviation,No_11_Angle_Deviation,No_12_Angle_Deviation,No_13_Angle_Deviation,No_1_NASM_Deviation,No_2_NASM_Deviation,No_3_NASM_Deviation,No_4_NASM_Deviation,No_5_NASM_Deviation,No_6_NASM_Deviation,No_7_NASM_Deviation,No_8_NASM_Deviation,No_9_NASM_Deviation,No_10_NASM_Deviation,No_11_NASM_Deviation,No_12_NASM_Deviation,No_13_NASM_Deviation,No_14_NASM_Deviation,No_15_NASM_Deviation,No_16_NASM_Deviation,No_17_NASM_Deviation,No_18_NASM_Deviation,No_19_NASM_Deviation,No_20_NASM_Deviation,No_21_NASM_Deviation,No_22_NASM_Deviation,No_23_NASM_Deviation,No_24_NASM_Deviation,No_25_NASM_Deviation,No_1_Time_Deviation,No_2_Time_Deviation,EstimatedScore,ID
0.56,0.29,0.32,0.72,1.0,0.34,0.99,0.38,0.59,0.41,0.21,0.95,0.31,0.18,0.35,0.38,0.29,0.21,0.19,0.92,0.78,0.83,0.76,0.49,0.36,0.4,0.91,0.11,0.46,0.29,0.93,0.63,0.72,1.0,0.98,0.94,0.92,0.83,0.6,0.2,0.2,0.9,617682ce-6010-494d-8239-d51d6d39320d.Kinect
0.73,0.37,0.43,0.35,0.36,0.44,0.23,0.19,0.56,0.85,0.27,0.63,0.34,0.27,0.46,0.19,0.38,0.29,0.25,0.47,0.5,0.95,0.94,0.3,0.3,0.32,0.86,0.59,0.46,0.28,0.38,0.5,0.7,0.66,0.64,0.54,0.66,0.58,0.36,0.19,0.19,0.2,2da598ec-e44e-4294-8a34-aeb577528af5.Kinect
0.4,0.3,0.18,0.35,0.39,0.9,0.7,0.89,0.53,0.49,0.91,0.65,0.92,0.94,0.9,0.88,0.3,0.9,0.9,0.59,0.51,0.34,0.45,0.52,0.94,0.94,0.54,0.68,0.46,0.84,0.38,0.71,0.67,0.9,0.72,0.8,0.65,0.58,0.91,0.69,0.78,0.83,5041fa92-39f8-4e02-8798-cc60d1312bd5.Kinect
0.02,0.66,0.49,0.35,0.38,0.49,0.99,0.85,0.58,0.81,0.75,0.85,0.65,0.7,0.49,0.81,0.68,0.75,0.72,1.0,0.19,0.55,0.4,0.54,0.82,0.8,0.55,1.0,0.61,0.42,0.74,0.6,0.73,0.97,0.84,0.55,0.9,0.8,0.69,0.73,0.73,0.77,0a30f46a-7a24-44eb-950c-dfe646f0b11a.Kinect
0.14,0.29,0.29,0.88,0.19,0.56,0.45,0.62,0.95,0.83,0.76,0.95,0.79,0.59,0.55,0.63,0.28,0.75,0.59,0.64,0.17,0.34,0.4,0.96,0.99,0.86,0.95,0.93,0.46,0.3,0.38,0.58,0.68,0.66,0.65,0.55,0.66,0.77,0.96,0.4,0.41,0.66,d5385770-0bcc-492e-a89a-7338c908f4d4.Kinect
0.27,0.75,0.66,0.47,0.85,0.98,0.97,0.98,0.66,0.31,0.37,0.74,0.18,0.64,0.99,0.99,0.78,0.38,0.62,0.72,0.97,0.8,0.88,0.65,0.46,0.79,0.65,0.34,0.46,0.78,0.73,0.68,0.97,0.67,0.64,0.56,0.75,0.68,0.85,0.26,0.27,0.95,885e28bd-4ad1-4b82-befc-816b9ecb94f5.Kinect
0.4,0.28,0.12,0.35,0.32,0.97,0.64,0.92,0.51,0.58,0.93,0.63,0.85,0.96,0.96,0.91,0.29,0.93,0.98,0.55,0.51,0.36,0.46,0.38,0.91,0.93,0.54,0.69,0.46,0.8,0.38,0.69,0.67,0.9,0.7,0.78,0.65,0.6,0.91,0.67,0.71,0.84,229dfb0a-904c-49fe-996f-6d5f959af82c.Kinect
0.82,0.3,0.55,0.38,0.5,0.29,0.89,0.74,0.53,0.9,0.21,0.64,0.77,0.36,0.28,0.73,0.29,0.21,0.36,0.47,0.4,0.48,0.32,0.65,0.56,0.43,0.54,0.92,0.93,0.85,0.4,0.44,0.68,0.67,0.94,0.71,0.65,0.76,0.31,0.41,0.16,0.4,5b28a252-b882-4bb3-a566-365502a96553.Kinect
0.6,0.53,0.91,0.92,0.97,0.22,1.0,0.25,0.93,0.69,0.42,0.63,0.58,0.44,0.22,0.25,0.55,0.42,0.43,0.48,0.46,0.94,0.96,0.93,0.35,0.33,0.81,0.33,0.46,0.32,0.84,0.99,1.0,0.66,0.84,0.67,0.65,0.59,0.31,0.82,0.85,0.93,ef211885-6b0c-4118-95af-55d40f2fd20d.Kinect
0.38,0.88,0.87,0.5,0.96,0.16,0.8,0.27,0.89,0.73,0.36,0.64,0.82,0.44,0.16,0.26,0.85,0.35,0.44,0.82,0.36,0.84,0.79,0.32,0.6,0.69,0.69,0.92,0.91,0.29,0.4,0.47,0.67,0.66,0.79,0.56,0.75,0.59,0.34,0.72,0.77,0.48,09d60099-5395-4c6f-9a04-f92b7035d8a9.Kinect
