,No_1_Angle_Deviation,No_2_Angle_Deviation,No_3_Angle_Deviation,No_4_Angle_Deviation,No_5_Angle_Deviation,No_6_Angle_Deviation,No_7_Angle_Deviation,No_8_Angle_Deviation,No_9_Angle_Deviation,No_10_Angle_Deviation,No_11_Angle_Deviation,No_12_Angle_Deviation,No_13_Angle_Deviation,No_1_NASM_Deviation,No_2_NASM_Deviation,No_3_NASM_Deviation,No_4_NASM_Deviation,No_5_NASM_Deviation,No_6_NASM_Deviation,No_7_NASM_Deviation,No_8_NASM_Deviation,No_9_NASM_Deviation,No_10_NASM_Deviation,No_11_NASM_Deviation,No_12_NASM_Deviation,No_13_NASM_Deviation,No_14_NASM_Deviation,No_15_NASM_Deviation,No_16_NASM_Deviation,No_17_NASM_Deviation,No_18_NASM_Deviation,No_19_NASM_Deviation,No_20_NASM_Deviation,No_21_NASM_Deviation,No_22_NASM_Deviation,No_23_NASM_Deviation,No_24_NASM_Deviation,No_25_NASM_Deviation,No_1_Time_Deviation,No_2_Time_Deviation
Cluster 0,0.5689557807652549,0.5566675373395549,0.5701508948155061,0.5407189802684853,0.4358728512017229,0.47833584113424266,0.44896165981837766,0.643555316850682,0.46838370717731515,0.3896257378183774,0.7018542175527638,0.4339583838420675,0.3811915365003591,0.4358728512017229,0.44896165981837766,0.5689557807652549,0.3896257378183774,0.3811915365003591,0.6031516197753051,0.5250052114867193,0.5852981415125628,0.5420645753610912,0.5336299167745873,0.4332688240100502,0.4408501921974156,0.6441274222017229,0.43906318701363967,0.588836034557789,0.4699702473237617,0.5885921714343144,0.5882941155599426,0.7268824323625269,0.6881300260114861,0.6935995678607322,0.6229139985936827,0.6937946538011486,0.6252214475814788,0.49926223403015074,0.48433154021177316,0.48012317463675525
Cluster 1,0.4802131949429386,0.4007224825064194,0.5406006702853067,0.4730465146419401,0.6690470618858774,0.5739248498459344,0.6594727336191155,0.6207577272824536,0.6003088235392297,0.7866119535948646,0.7017319042952924,0.6454928931383738,0.78500802189301,0.6690470618858774,0.6594727336191155,0.4802131949429386,0.7866119535948646,0.78500802189301,0.6267826455920114,0.4920919292838802,0.5040366499871611,0.50892475078602,0.5559869491455064,0.7731289550770328,0.772106241363766,0.6560449853537803,0.6342919193980028,0.6385875745706134,0.6812199411911555,0.5417053150299572,0.6175124855634807,0.7227675530984308,0.7712131808002853,0.7315948037375178,0.712692206513552,0.7445152330171184,0.7515645352667617,0.6451152783323822,0.5670454658901569,0.5764588064550642
